target_ele	response_ele
50	-3.38
-50	-47.75
0	9.37
-25	-27.29
25	52.07
-25	-38.97
-50	-51.39
25	27.5
50	52.21
0	-2.03
50	46.49
25	2.27
0	-29.06
-50	-49.29
-25	-14.96
