target_ele	response_ele
0	-1.19
25	27.08
50	9.19
-25	-27.51
-50	-51.28
0	9.42
-50	-40.16
25	24.21
-25	-11.57
50	37.1
-25	-24.74
0	10.0
-50	-27.5
50	27.59
25	8.56
