target_ele	target_azi	response_ele	response_azi
-37.5	0.0	-12.9	-4.6
12.5	-52.5	2.7	-58.1
25.0	35.0	20.5	44.0
0.0	-35.0	-17.9	-44.0
37.5	-17.5	19.3	-29.7
0.0	-17.5	-4.7	-27.8
12.5	52.5	12.8	54.5
-25.0	52.5	-8.0	52.0
12.5	0.0	-12.7	-2.5
25.0	52.5	16.2	54.3
25.0	-17.5	-2.3	-29.7
-12.5	52.5	11.6	47.1
-37.5	-17.5	9.4	-24.4
0.0	35.0	-1.8	32.1
25.0	0.0	13.0	-3.2
-37.5	35.0	-10.0	26.7
-12.5	-52.5	12.0	-56.7
-37.5	17.5	0.0	16.5
25.0	-52.5	11.0	-58.2
12.5	17.5	7.4	19.9
-12.5	-35.0	-2.9	-55.4
-25.0	17.5	-22.4	15.9
-37.5	-35.0	-11.4	-45.6
25.0	-35.0	14.4	-57.7
12.5	35.0	-15.2	40.9
0.0	-52.5	18.4	-57.2
-25.0	-17.5	-18.9	-18.8
25.0	17.5	11.5	19.4
12.5	-17.5	-8.2	-22.7
-25.0	-52.5	0.0	-0.1
0.0	17.5	7.3	76.4
37.5	35.0	17.2	31.9
-12.5	35.0	6.4	26.8
37.5	17.5	-16.3	9.0
37.5	-35.0	40.1	-42.3
-25.0	35.0	6.8	28.6
-12.5	0.0	15.3	0.4
12.5	-35.0	28.0	-37.1
-25.0	-35.0	-26.5	-44.3
-25.0	0.0	-15.5	-7.7
0.0	52.5	15.9	54.4
37.5	0.0	16.4	1.3
-12.5	17.5	-11.2	16.6
-12.5	-17.5	0.4	-27.1
25.0	35.0	5.4	39.3
0.0	-17.5	9.5	-24.4
-37.5	17.5	-8.9	19.8
12.5	0.0	10.3	-6.8
25.0	-52.5	20.2	-59.6
-12.5	17.5	4.1	18.6
12.5	-35.0	27.9	-43.1
-37.5	35.0	-11.4	31.6
12.5	35.0	15.9	25.1
0.0	-35.0	-11.3	-49.3
-37.5	-35.0	5.6	-45.4
-12.5	35.0	-13.0	30.0
25.0	-35.0	22.9	-39.0
0.0	52.5	10.0	52.4
0.0	-52.5	-23.9	-57.4
25.0	-17.5	39.8	-24.5
-37.5	-17.5	-21.4	-21.6
37.5	0.0	16.1	-7.1
-12.5	-35.0	-14.2	-38.8
-37.5	0.0	-10.4	-4.8
12.5	-17.5	-4.9	-21.8
-12.5	-52.5	0.4	-61.2
37.5	-35.0	32.1	-61.6
37.5	17.5	25.7	19.9
12.5	52.5	10.0	54.8
-25.0	-17.5	-2.8	-21.6
25.0	17.5	-9.2	17.5
-25.0	-35.0	-19.3	-45.7
-25.0	17.5	13.0	13.1
37.5	-17.5	29.0	-22.9
-25.0	52.5	8.3	39.0
-12.5	0.0	20.0	-1.0
0.0	35.0	-35.0	37.3
25.0	0.0	17.7	0.7
25.0	52.5	16.2	55.5
12.5	-52.5	-3.3	-59.9
37.5	35.0	14.2	39.4
-12.5	52.5	-3.2	54.2
-12.5	-17.5	-4.5	-30.8
0.0	17.5	3.9	14.8
-25.0	-52.5	-0.1	-59.3
12.5	17.5	0.3	21.7
-25.0	0.0	-5.8	-6.4
-25.0	35.0	-11.5	29.0
-25.0	-35.0	3.5	-47.5
37.5	0.0	9.9	-1.6
0.0	-17.5	12.9	-21.8
37.5	17.5	12.6	19.9
-25.0	35.0	10.6	34.5
37.5	-35.0	42.9	-43.1
-25.0	52.5	10.4	47.1
25.0	35.0	22.9	36.9
12.5	-35.0	18.2	-52.2
-37.5	17.5	-16.5	18.5
37.5	35.0	4.2	52.3
12.5	-52.5	22.0	-64.6
-12.5	52.5	5.5	57.9
-25.0	-52.5	18.9	-65.5
-12.5	-17.5	-18.6	-34.1
0.0	35.0	-10.9	37.7
-37.5	-35.0	-9.6	-50.5
25.0	-17.5	24.8	-24.7
12.5	17.5	16.2	19.5
12.5	-17.5	8.2	-28.8
0.0	-52.5	23.3	-61.7
-12.5	17.5	23.0	19.6
-25.0	-17.5	-10.6	-29.8
-12.5	35.0	34.2	36.9
37.5	-17.5	42.3	-26.2
25.0	52.5	14.5	55.7
-12.5	0.0	-16.5	-2.0
12.5	52.5	-1.5	55.8
-25.0	0.0	11.3	0.8
25.0	0.0	21.5	-0.5
-12.5	-52.5	17.6	-64.2
12.5	0.0	-11.5	-0.9
25.0	-52.5	23.7	-67.1
-12.5	-35.0	12.6	-50.4
0.0	52.5	20.4	56.1
-37.5	35.0	-11.0	43.2
25.0	17.5	-13.4	17.3
0.0	-35.0	8.7	-46.4
-37.5	0.0	13.5	-4.7
0.0	17.5	-7.5	19.4
-37.5	-17.5	-4.8	-20.7
12.5	35.0	6.8	36.9
25.0	-35.0	19.7	-66.5
-25.0	17.5	18.6	15.1
