target_ele	target_azi	response_ele	response_azi
0.0	-52.5	-34.3	-52.7
0.0	-17.5	23.8	-16.1
-25.0	17.5	18.1	21.1
37.5	-17.5	-22.2	-19.9
-12.5	-17.5	25.5	-11.8
25.0	-35.0	25.7	-43.2
-25.0	52.5	-39.8	50.6
25.0	-52.5	-19.3	-56.9
-25.0	35.0	-18.1	39.8
25.0	35.0	7.3	36.1
-37.5	35.0	23.4	38.3
12.5	0.0	-19.5	-2.1
-25.0	-35.0	38.7	-31.9
37.5	35.0	-21.7	35.3
0.0	17.5	-14.8	14.5
-25.0	-17.5	21.7	-13.2
25.0	52.5	-14.9	53.4
12.5	-35.0	22.8	-44.1
-37.5	-17.5	37.8	-9.6
12.5	17.5	16.3	19.3
-37.5	17.5	6.5	35.9
25.0	17.5	-24.9	14.7
-12.5	35.0	38.6	45.7
25.0	-17.5	37.0	-19.1
-37.5	0.0	-43.7	8.3
37.5	0.0	9.2	3.3
-12.5	52.5	-20.7	55.7
-12.5	-52.5	-25.8	-62.1
12.5	52.5	7.9	56.1
25.0	0.0	20.4	2.4
-25.0	0.0	48.7	3.6
0.0	-35.0	35.0	-50.6
12.5	35.0	-29.5	47.9
12.5	-52.5	-1.3	-56.9
12.5	-17.5	23.5	-18.7
0.0	35.0	-14.1	41.2
-37.5	-35.0	36.2	-35.4
-12.5	0.0	-47.7	6.3
37.5	-35.0	12.7	-47.5
-25.0	-52.5	1.9	-55.3
37.5	17.5	-23.8	24.2
-12.5	17.5	-10.0	16.1
-12.5	-35.0	19.2	-38.4
0.0	52.5	-20.4	55.8
-37.5	35.0	-26.8	43.1
37.5	17.5	-20.6	18.3
0.0	-52.5	-26.8	-58.0
0.0	52.5	-29.6	55.3
-37.5	0.0	23.8	3.4
25.0	52.5	-11.7	48.4
37.5	-17.5	28.0	-19.5
0.0	17.5	-10.4	15.2
12.5	-35.0	22.6	-52.4
-25.0	35.0	-36.4	38.8
12.5	-17.5	18.5	-13.9
-25.0	52.5	-43.2	52.8
25.0	0.0	9.6	2.5
12.5	-52.5	-11.0	-55.1
0.0	-17.5	21.5	-11.2
25.0	-52.5	22.8	-50.0
-37.5	-35.0	43.1	-33.3
-12.5	0.0	39.4	3.5
25.0	35.0	15.2	42.4
25.0	-17.5	36.3	-22.1
-12.5	17.5	28.1	24.6
-12.5	-52.5	-22.5	-58.8
37.5	0.0	49.4	2.1
-25.0	17.5	26.5	26.1
37.5	-35.0	32.7	-52.1
25.0	17.5	28.2	15.5
0.0	-35.0	41.6	-36.3
-12.5	35.0	29.9	41.4
25.0	-35.0	38.7	-36.6
12.5	52.5	-31.6	57.2
-25.0	-35.0	38.6	-30.8
-37.5	17.5	26.7	24.2
12.5	17.5	14.7	18.4
-25.0	-52.5	-26.2	-43.7
-37.5	-17.5	41.3	-11.5
12.5	35.0	-21.9	46.3
-25.0	-17.5	29.6	-19.8
0.0	35.0	-10.4	43.3
12.5	0.0	34.5	2.0
-25.0	0.0	21.6	3.1
-12.5	-35.0	33.3	-36.4
37.5	35.0	7.3	38.1
-12.5	52.5	-43.1	61.0
-12.5	-17.5	36.3	-16.1
-37.5	35.0	-45.8	26.1
-25.0	0.0	30.0	6.9
25.0	-35.0	32.0	-40.9
-25.0	17.5	-22.4	18.8
0.0	52.5	-35.3	46.1
-37.5	17.5	37.0	22.9
-12.5	-52.5	-7.0	-46.2
12.5	35.0	29.5	41.8
-12.5	-35.0	34.2	-41.0
-25.0	35.0	40.3	44.7
0.0	-17.5	21.5	-16.9
-25.0	52.5	-31.9	61.3
12.5	52.5	-9.0	58.6
-25.0	-52.5	-17.4	-62.7
0.0	17.5	6.9	16.0
25.0	-17.5	42.4	-18.4
37.5	17.5	28.1	17.6
0.0	-35.0	36.0	-48.3
37.5	-35.0	22.4	-53.6
-37.5	0.0	8.1	5.5
37.5	-17.5	12.1	-23.5
-37.5	-35.0	32.3	-41.3
37.5	35.0	25.4	36.6
-25.0	-17.5	11.6	-27.4
-12.5	35.0	43.0	41.6
-25.0	-35.0	42.5	-19.4
12.5	-35.0	-31.3	-34.0
12.5	17.5	15.5	17.2
0.0	-52.5	-4.0	-55.6
25.0	52.5	-2.3	57.9
-12.5	-17.5	40.6	-19.9
25.0	-52.5	-10.7	-55.0
-12.5	0.0	40.9	6.9
25.0	17.5	-8.4	22.9
-37.5	-17.5	32.4	-22.6
-12.5	52.5	-33.2	59.3
12.5	0.0	31.3	6.1
0.0	35.0	-18.0	43.3
37.5	0.0	-14.5	4.0
12.5	-52.5	-6.7	-59.2
12.5	-17.5	18.2	-22.3
-12.5	17.5	15.5	19.8
25.0	35.0	-12.5	45.8
25.0	0.0	22.5	3.0
