trial	hit
20	1
47	1
62	1
75	1
85	1
95	1
136	1
156	1
184	1
194	1
210	1
218	1
228	1
255	1
265	1
291	1
304	1
324	1
330	1
343	1
376	1
382	1
446	0
464	1
570	1
577	1
592	1
600	1
614	1
627	1
645	1
674	1
691	1
701	1
741	1
760	1
775	1
785	1
806	1
836	1
856	1
872	1
894	1
916	1
935	1
954	1
970	1
998	1
1020	1
1031	1
1064	1
1105	1
1112	1
1127	1
1168	1
1177	1
1198	1
1250	0
1256	1
1316	0
1330	1
1357	1
1378	1
1385	1
1397	1
1413	1
1425	1
1431	1
1437	1
1444	1
1485	1
1509	1
1537	1
1546	1
1552	1
1600	1
1606	1
1627	1
1639	1
1667	1
1681	1
1743	1
1749	1
1762	1
1777	1
1800	1
1806	1
1812	1
1861	1
1867	1
1883	1
1899	1
1937	1
1955	1
1975	1
