trial	target_ele	response_ele
4	37.5	-1.5
25	-37.5	-24.2
52	37.5	28.8
62	12.5	-0.3
82	-37.5	-32.7
110	-12.5	35.1
129	12.5	-14.4
151	12.5	12.9
169	12.5	22.9
188	37.5	-18.3
208	12.5	17.3
227	-12.5	-24.0
11	12.5	2.4
24	-37.5	-15.9
51	12.5	10.7
65	-12.5	-17.3
85	-37.5	-14.8
102	12.5	14.3
122	-12.5	-8.3
143	-37.5	16.9
166	12.5	12.1
187	-37.5	-1.1
207	-12.5	-18.6
228	-12.5	21.3
7	-12.5	27.6
24	-12.5	-15.0
52	37.5	-8.6
72	-12.5	-33.3
82	12.5	12.8
112	-37.5	-15.9
126	-12.5	16.7
151	12.5	-9.5
166	-12.5	16.6
189	37.5	-19.3
203	37.5	12.6
229	-12.5	16.8
3	37.5	-14.9
27	12.5	14.8
42	-12.5	18.9
66	37.5	-18.1
82	12.5	15.1
111	37.5	-12.7
128	-12.5	-13.1
150	37.5	21.0
168	12.5	-18.3
192	37.5	-18.2
207	37.5	22.7
232	-37.5	-1.4
3	-37.5	-0.4
23	12.5	7.1
43	-37.5	-16.5
64	-12.5	14.1
84	37.5	-17.0
109	37.5	18.1
131	-37.5	21.5
142	-37.5	-22.1
162	37.5	-18.6
185	-37.5	11.2
205	-12.5	-15.5
226	12.5	13.7
12	12.5	8.1
23	12.5	-13.0
44	-37.5	6.3
65	-37.5	-12.6
88	-12.5	-13.6
103	12.5	-16.2
130	-37.5	18.1
145	37.5	9.9
170	-37.5	-18.3
184	12.5	-18.6
210	37.5	16.5
231	-37.5	-30.8
