target_ele	target_azi	response_ele	response_azi
-37.5	0.0	-24.7	2.5
-25.0	35.0	-14.4	42.9
25.0	52.5	19.9	46.5
-25.0	-35.0	-37.5	-35.2
0.0	17.5	-1.1	21.8
25.0	-35.0	23.0	-46.3
-37.5	-17.5	-36.2	-13.7
12.5	0.0	9.6	-1.2
0.0	35.0	-2.7	41.5
25.0	0.0	22.2	-2.4
25.0	-52.5	18.4	-59.4
-37.5	17.5	-21.3	28.5
25.0	-17.5	19.1	-25.8
25.0	35.0	19.8	37.4
-37.5	-35.0	-38.7	-36.7
-12.5	0.0	-20.3	-0.2
-12.5	-52.5	-11.7	-49.5
12.5	17.5	6.7	18.5
12.5	-52.5	4.4	-53.1
12.5	-17.5	6.0	-22.9
12.5	35.0	-0.4	41.1
-12.5	-35.0	-18.8	-33.0
-25.0	17.5	-15.8	28.7
37.5	17.5	24.9	19.4
-37.5	35.0	-41.4	51.9
37.5	0.0	20.9	-3.2
-12.5	35.0	-15.4	40.4
12.5	-35.0	9.9	-36.7
12.5	52.5	-0.0	51.9
25.0	17.5	15.4	20.2
-12.5	52.5	-10.0	49.9
0.0	-17.5	-7.1	-18.0
37.5	35.0	23.2	34.9
-25.0	52.5	-32.6	58.5
-25.0	0.0	-17.5	-0.4
0.0	-52.5	2.9	-53.8
-12.5	-17.5	-17.1	-20.2
37.5	-17.5	29.0	-22.3
0.0	-35.0	-11.9	-35.3
-12.5	17.5	-8.4	18.1
37.5	-35.0	28.0	-55.0
-25.0	-17.5	-17.4	-17.7
-25.0	-52.5	-34.4	-49.5
0.0	52.5	-9.8	51.8
0.0	-52.5	-4.3	-52.4
-12.5	52.5	-19.1	56.7
12.5	0.0	8.1	2.1
0.0	52.5	-12.4	56.8
-37.5	-17.5	-23.1	-16.3
12.5	35.0	5.2	33.4
-25.0	-17.5	-22.1	-20.2
25.0	52.5	20.5	49.6
-25.0	-52.5	-35.6	-52.4
25.0	-35.0	16.3	-43.4
37.5	35.0	32.3	32.1
-12.5	-35.0	-33.7	-37.0
0.0	17.5	-0.9	22.4
-37.5	0.0	-26.5	1.0
25.0	-17.5	15.0	-21.7
-37.5	35.0	-41.7	49.3
12.5	-52.5	7.1	-57.3
25.0	35.0	15.9	32.9
12.5	-17.5	-0.5	-18.8
-25.0	52.5	-30.6	60.5
12.5	-35.0	-14.6	-38.2
0.0	35.0	-5.2	35.3
37.5	-17.5	19.1	-22.9
-25.0	35.0	-16.4	42.5
37.5	17.5	22.1	21.1
-12.5	17.5	-6.7	23.0
-12.5	-52.5	-21.3	-47.6
-12.5	0.0	-15.4	0.4
25.0	17.5	15.0	19.2
-25.0	17.5	-7.5	17.6
0.0	-17.5	-12.7	-21.0
12.5	17.5	2.4	18.1
25.0	-52.5	9.8	-54.1
-25.0	-35.0	-31.4	-35.0
12.5	52.5	0.2	53.0
37.5	0.0	23.4	-2.7
-12.5	35.0	-20.3	40.9
-25.0	0.0	-21.0	2.1
25.0	0.0	10.7	-1.4
-12.5	-17.5	-26.8	-15.5
37.5	-35.0	24.5	-56.1
0.0	-35.0	-10.1	-33.2
-37.5	-35.0	-40.6	-38.4
-37.5	17.5	-35.0	32.3
0.0	35.0	-1.4	37.9
12.5	-35.0	1.6	-39.1
12.5	17.5	6.2	18.3
12.5	52.5	5.7	54.0
-25.0	-35.0	-34.7	-35.2
-12.5	0.0	-19.9	-0.1
0.0	-52.5	0.3	-52.5
0.0	17.5	10.2	17.6
-25.0	-17.5	-21.4	-15.8
12.5	-52.5	5.3	-55.5
-25.0	52.5	-37.3	57.2
0.0	-17.5	-14.5	-14.2
37.5	0.0	16.3	0.5
25.0	-35.0	9.9	-38.5
-37.5	-35.0	-41.7	-38.4
12.5	-17.5	5.5	-12.6
-12.5	52.5	-25.1	54.5
-12.5	17.5	-3.5	23.4
25.0	52.5	17.5	48.7
-37.5	-17.5	-37.2	-10.5
25.0	35.0	13.4	35.5
37.5	-35.0	26.5	-59.3
-12.5	35.0	-22.9	40.0
25.0	-17.5	10.7	-22.8
25.0	-52.5	21.9	-57.8
-37.5	35.0	-36.4	49.6
-37.5	0.0	-33.9	5.4
-25.0	35.0	-4.2	33.6
-25.0	-52.5	-38.3	-51.6
-25.0	0.0	-17.5	2.5
37.5	35.0	27.0	39.2
-25.0	17.5	-5.3	22.2
0.0	-35.0	0.5	-36.3
25.0	0.0	13.3	0.6
0.0	52.5	-1.8	50.8
12.5	0.0	2.0	-0.4
12.5	35.0	-0.9	34.0
-12.5	-35.0	-17.5	-34.8
37.5	17.5	24.5	19.1
-12.5	-17.5	-20.1	-19.4
-37.5	17.5	-25.1	22.0
25.0	17.5	12.3	18.3
37.5	-17.5	21.6	-23.3
-12.5	-52.5	-21.5	-52.6
