trial	hit
27	1
39	1
81	1
110	1
121	1
148	1
180	1
189	1
199	1
205	1
229	1
244	1
258	1
276	1
361	0
367	1
383	1
393	1
430	0
438	1
445	1
480	1
490	1
500	1
518	1
526	1
552	1
569	1
589	1
603	1
645	1
651	1
697	1
719	1
728	1
741	1
748	1
803	1
820	1
838	1
889	1
906	1
914	1
952	1
974	1
981	1
987	1
996	1
1017	1
1028	1
1036	1
1047	1
1087	1
1100	1
1148	1
1174	1
1180	1
1232	1
1242	0
1257	1
1274	1
1288	0
1300	1
1316	1
1336	1
1342	1
1378	1
1390	1
1416	1
1442	0
1465	0
1483	1
1546	1
1584	0
1592	1
1599	0
1626	1
1656	1
1685	0
1711	1
1717	1
1723	0
1732	0
1749	0
1757	0
1764	1
1790	1
1832	0
1845	1
1851	0
1862	0
1876	0
1885	0
1950	1
1994	1
2005	0
