target_ele	response_ele
50	1.83
-25	-34.53
25	26.52
0	2.05
-50	-46.62
25	43.36
-50	-45.68
-25	-13.28
0	13.02
50	44.79
25	25.29
-25	-23.13
50	55.85
-50	-47.89
0	13.54
