trial	hit
5	1
21	1
56	0
89	1
129	0
153	1
167	1
181	0
197	1
203	1
244	1
251	1
284	1
291	1
320	0
330	1
386	1
397	1
403	1
449	0
465	0
475	0
489	1
501	0
521	1
549	1
568	1
580	1
595	1
631	1
646	1
689	1
711	1
735	1
751	1
786	1
801	1
820	1
826	1
873	1
888	1
909	1
925	1
944	1
953	1
961	1
970	1
985	1
1026	1
1039	1
1057	1
1064	1
1073	1
1085	1
1103	1
1114	1
1157	1
1164	1
1171	1
1181	1
1235	1
1257	1
1288	1
1304	1
1333	1
1345	1
1375	1
1413	1
1425	1
1434	1
1449	1
1474	1
1526	1
1536	1
1546	1
1552	1
1563	1
1576	1
1586	1
1604	1
1621	1
1680	1
1695	1
1751	1
1765	1
1781	1
1814	1
1853	1
1860	1
1869	1
1900	1
1906	1
1927	1
1961	1
1985	1
1994	1
