trial	hit
6	1
12	0
27	1
33	1
48	1
65	1
128	1
154	1
172	1
178	1
190	1
202	1
226	1
264	1
270	1
291	1
311	1
328	1
366	1
400	1
410	1
416	0
446	1
464	1
511	1
531	1
546	1
593	1
605	1
617	1
628	1
690	1
701	1
713	1
734	1
762	1
793	1
822	1
828	1
843	1
858	1
881	1
890	1
948	1
955	0
966	1
977	1
991	1
1029	1
1042	1
1048	1
1075	1
1086	1
1114	1
1142	0
1178	1
1189	1
1259	1
1276	1
1302	0
1350	1
1357	1
1366	1
1374	1
1401	1
1407	1
1420	0
1428	1
1458	1
1485	1
1503	1
1509	0
1523	1
1541	1
1585	1
1601	1
1617	1
1636	1
1656	1
1676	1
1713	1
1728	1
1750	1
1760	1
1772	1
1788	1
1799	1
1813	1
1831	1
1844	1
1883	1
1939	1
1967	0
1974	1
1989	1
2003	1
