trial	target_ele	response_ele
25	-37.5	-31.94
55	12.5	8.5
71	-37.5	-39.45
91	12.5	13.42
104	-12.5	-3.35
113	37.5	18.23
129	12.5	-10.65
149	37.5	11.71
177	37.5	4.53
183	37.5	26.7
196	37.5	16.87
218	37.5	-14.19
246	-12.5	1.39
254	-12.5	15.44
274	37.5	11.52
323	-37.5	-26.15
348	-37.5	-15.61
356	12.5	-1.84
366	-12.5	-15.06
387	12.5	11.52
403	-37.5	-18.78
432	-37.5	-26.53
438	-37.5	-18.96
452	37.5	14.62
496	12.5	-2.66
501	-37.5	-13.38
519	12.5	14.95
525	12.5	11.81
532	-12.5	-6.49
537	37.5	12.74
547	12.5	0.7
552	37.5	14.41
557	-12.5	13.12
587	-37.5	-12.65
597	-37.5	-19.49
651	37.5	16.49
709	37.5	13.45
722	-12.5	-0.13
739	-12.5	15.83
749	-37.5	-15.81
759	-37.5	-1.9
803	-12.5	2.89
820	-12.5	12.14
832	12.5	10.26
842	12.5	-1.21
877	-37.5	-25.8
882	-12.5	-2.32
910	12.5	13.01
926	-37.5	-20.45
938	12.5	3.54
959	-12.5	9.11
976	37.5	16.36
997	-12.5	-11.08
1014	-12.5	-0.57
1064	-12.5	11.87
1100	37.5	12.95
1107	-37.5	-11.98
1112	-12.5	11.79
1124	-37.5	-13.0
1132	-37.5	-15.23
1168	12.5	17.97
1191	37.5	12.98
1207	37.5	4.61
1219	12.5	3.64
1249	-12.5	-9.44
1255	-12.5	-1.93
1260	-37.5	-2.0
1280	12.5	0.98
1292	-37.5	-9.32
1303	-12.5	4.76
1346	37.5	15.31
1359	12.5	3.51
