target_ele	response_ele
0	0.32
50	39.57
-50	-46.87
25	35.81
-25	-24.13
50	26.82
25	11.04
-50	-34.38
0	-0.68
-25	-25.28
-50	-44.78
0	12.92
50	37.97
25	25.66
-25	-24.84
