trial	hit
15	0
30	0
46	0
58	0
67	1
86	0
116	0
125	0
152	0
158	0
173	0
209	1
215	1
232	0
272	1
291	1
327	1
337	0
347	1
385	0
403	0
418	0
445	0
478	0
552	1
577	1
614	1
633	1
665	0
684	0
691	0
701	0
714	0
731	1
764	0
814	0
831	1
881	0
904	0
911	0
921	0
940	0
953	1
959	0
969	0
983	1
994	0
1004	0
1035	1
1056	1
1102	1
1113	0
1123	0
1130	1
1139	1
1173	1
1181	1
1203	1
1210	1
1224	0
1239	1
1255	0
1261	1
1271	1
1294	0
1320	1
1335	1
1347	1
1364	0
1379	1
1449	0
1459	1
1525	1
1562	1
1572	1
1587	1
1610	1
1623	1
1642	1
1651	1
1664	1
1691	1
1706	1
1725	1
1760	1
1768	1
1785	1
1796	1
1824	1
1831	1
1853	1
1880	1
1897	1
1938	1
1950	1
1982	1
