trial	hit
39	1
51	1
61	1
69	1
87	0
110	1
137	1
167	0
216	0
249	1
261	0
268	0
280	0
301	1
323	1
361	1
370	0
407	1
415	0
423	0
433	1
442	0
471	1
478	0
522	1
535	0
548	1
573	1
593	0
620	0
647	1
653	1
706	1
783	1
799	1
805	0
827	1
868	1
876	1
918	1
939	1
948	0
955	1
972	1
978	1
984	0
990	1
1002	1
1019	0
1040	1
1061	0
1089	1
1095	1
1115	1
1145	0
1179	1
1191	1
1238	0
1244	1
1257	0
1280	0
1304	0
1358	1
1364	0
1373	1
1385	1
1421	1
1434	1
1444	1
1453	0
1464	0
1488	1
1544	0
1562	0
1569	1
1595	0
1606	0
1622	1
1633	0
1660	1
1675	0
1682	0
1698	0
1753	1
1768	0
1786	0
1793	0
1853	0
1864	1
1889	0
1899	1
1906	1
1942	0
1948	1
1994	0
2002	1
