trial	hit
21	0
38	1
47	1
76	0
97	1
111	1
122	1
182	1
234	0
257	1
264	1
280	0
289	1
299	1
319	1
359	1
369	0
397	1
417	1
436	0
445	1
458	1
477	1
494	1
510	0
524	1
549	1
566	0
573	0
580	0
595	0
607	0
632	1
666	1
675	1
739	1
748	1
768	0
807	1
817	1
876	1
904	1
911	1
917	0
934	1
944	1
950	1
1001	1
1022	0
1057	1
1087	1
1094	1
1142	1
1190	1
1215	1
1248	0
1259	1
1278	1
1301	1
1327	0
1338	1
1347	0
1360	0
1385	1
1393	1
1407	0
1423	0
1431	0
1437	1
1444	1
1477	1
1490	1
1521	0
1538	0
1545	1
1561	0
1574	0
1582	1
1624	0
1656	1
1685	1
1698	0
1712	0
1749	1
1812	0
1831	1
1839	0
1864	1
1879	0
1886	1
1897	0
1918	1
1966	1
1983	1
1999	0
2012	0
