trial	target_ele	response_ele
7	12.5	-1.4
13	-12.5	-26.88
27	-12.5	-24.3
37	37.5	13.74
43	-12.5	-14.55
69	-37.5	4.36
82	-12.5	-25.53
100	37.5	21.68
106	37.5	34.26
117	-12.5	-0.97
150	-12.5	-26.83
227	-37.5	-34.98
242	12.5	5.67
274	12.5	4.8
280	12.5	7.23
293	-37.5	-23.09
298	37.5	20.46
322	-12.5	-9.56
333	12.5	4.81
338	12.5	3.67
357	-37.5	-23.81
384	-37.5	-37.29
413	37.5	17.44
423	-12.5	-24.15
483	37.5	18.19
498	12.5	18.69
515	12.5	-11.33
521	-12.5	-11.03
553	12.5	2.6
562	-12.5	-9.71
575	-12.5	-10.48
588	-12.5	3.65
625	-37.5	-36.46
650	-37.5	-20.34
670	-37.5	-22.45
679	-37.5	-36.59
688	-37.5	-21.08
694	-12.5	6.72
703	37.5	37.15
708	37.5	21.97
745	12.5	6.08
768	-12.5	-8.03
814	-12.5	-20.8
820	37.5	10.85
827	37.5	22.9
871	37.5	8.35
878	37.5	10.66
901	-12.5	4.14
926	-12.5	-11.36
940	12.5	-10.07
970	12.5	4.68
985	-12.5	-9.99
993	12.5	7.39
1017	37.5	4.0
1032	37.5	-8.89
1050	-12.5	5.61
1071	37.5	21.76
1095	-12.5	2.68
1109	37.5	13.2
1115	37.5	-11.48
1148	-37.5	-11.84
1167	12.5	1.32
1183	12.5	3.06
1210	12.5	3.15
1222	37.5	16.62
1227	-12.5	1.45
1262	-37.5	-12.25
1268	12.5	1.95
1284	-37.5	-12.12
1295	37.5	3.36
1319	37.5	0.31
1363	-12.5	-14.06
