target_ele	response_ele
-25	-1.85
-50	-44.54
0	23.35
50	51.01
25	24.69
-25	-26.25
-50	-45.75
50	0.12
25	24.66
0	0.26
-25	-26.56
-50	-45.14
25	24.46
0	-0.18
50	56.86
