trial	target_ele	response_ele
9	-37.5	-14.3
25	-12.5	-16.0
45	-12.5	14.5
64	37.5	17.5
83	12.5	-13.5
102	37.5	33.1
125	12.5	15.4
148	12.5	18.4
164	12.5	15.9
189	-12.5	-14.9
202	37.5	-8.9
226	-37.5	13.7
4	-37.5	9.8
8	-12.5	15.1
26	12.5	15.7
49	37.5	-13.5
70	37.5	15.7
87	-37.5	34.3
112	37.5	16.1
127	37.5	34.2
148	12.5	-12.2
162	-37.5	-12.3
189	-12.5	14.1
203	-37.5	33.1
230	12.5	13.6
8	12.5	14.9
28	-12.5	28.9
51	-37.5	-35.1
69	37.5	13.0
87	-12.5	-12.2
106	-12.5	-15.4
131	12.5	9.7
151	-12.5	-19.7
163	37.5	-18.1
190	12.5	11.4
209	12.5	-14.9
226	-37.5	-14.3
2	-37.5	-30.9
32	-37.5	-29.4
45	37.5	-12.5
66	12.5	13.2
83	12.5	-12.1
102	37.5	12.5
127	-12.5	-10.0
150	12.5	-11.4
168	37.5	-11.7
190	-12.5	-12.8
212	-12.5	12.4
222	12.5	12.5
3	37.5	11.8
22	-37.5	-11.6
44	12.5	10.9
69	12.5	-15.3
84	-37.5	-16.1
108	37.5	10.2
128	-37.5	-15.5
150	-12.5	-35.9
170	12.5	-18.1
183	-12.5	13.4
205	37.5	-14.9
224	12.5	-15.4
