trial	target_ele	response_ele
13	37.5	21.88
24	37.5	25.7
29	12.5	8.68
37	37.5	18.49
42	-37.5	-2.29
51	-37.5	-13.93
86	-37.5	-2.29
120	12.5	7.26
134	-12.5	0.28
148	37.5	6.65
158	12.5	-2.07
220	-12.5	-3.87
237	12.5	-12.49
243	-37.5	-14.84
303	-37.5	-12.33
310	-37.5	-13.32
321	-37.5	-15.43
339	-12.5	2.21
358	37.5	12.3
368	-12.5	0.65
379	-37.5	-12.6
398	-37.5	-11.91
424	-12.5	-13.69
432	37.5	8.37
505	12.5	0.37
520	12.5	9.31
542	-12.5	-0.93
549	37.5	13.37
566	-37.5	-14.31
596	-37.5	1.1
601	37.5	25.35
624	12.5	0.49
632	12.5	-0.04
637	12.5	-2.4
655	37.5	23.56
669	-37.5	-2.05
705	12.5	0.64
739	-12.5	1.49
744	37.5	5.29
753	-12.5	1.43
767	-12.5	2.19
782	12.5	10.84
813	37.5	26.19
860	-12.5	-11.55
870	37.5	25.62
882	37.5	27.81
891	12.5	2.56
903	12.5	2.29
918	-12.5	-1.71
927	12.5	12.27
967	37.5	10.79
985	37.5	12.21
996	37.5	8.15
1010	-12.5	-4.3
1021	37.5	10.21
1038	-12.5	-4.09
1054	37.5	11.21
1081	-37.5	-1.37
1110	37.5	9.95
1128	-37.5	-1.99
1144	-37.5	-14.66
1154	37.5	26.51
1168	-12.5	-2.72
1176	-12.5	-1.42
1189	12.5	9.81
1200	-12.5	-1.3
1228	-12.5	10.28
1251	-12.5	14.97
1303	12.5	10.01
1313	37.5	8.06
1336	37.5	10.76
1347	12.5	-0.92
