target_ele	response_ele
50	36.0
0	-13.73
25	9.09
-25	-35.94
-50	-46.64
25	8.81
-25	-37.15
50	29.85
-50	-46.24
0	-13.62
-25	-23.39
-50	-47.86
25	-0.83
50	16.75
0	-0.23
