target_ele	response_ele
-50	-39.19
50	31.42
0	-15.36
25	21.11
-25	-25.25
25	24.19
-50	-36.66
0	-2.8
50	33.79
-25	-14.95
25	11.19
0	-0.89
50	32.12
-25	-26.96
-50	-38.31
