trial	hit
21	0
64	0
99	0
109	0
135	0
174	0
186	1
225	0
238	0
254	0
279	1
285	1
294	1
311	0
321	1
334	1
346	1
353	1
388	0
427	1
442	1
454	1
462	1
495	0
534	1
542	1
573	1
579	1
592	1
621	1
627	1
636	1
650	1
664	1
674	1
685	1
717	0
734	1
776	1
784	1
852	1
873	1
883	1
896	0
911	1
928	1
945	1
983	1
1031	1
1043	1
1071	1
1080	1
1113	1
1119	1
1141	0
1189	1
1196	1
1208	1
1218	1
1248	1
1258	1
1265	1
1291	1
1315	0
1330	1
1367	1
1374	1
1386	0
1450	1
1466	1
1473	1
1489	1
1523	1
1542	1
1549	1
1558	1
1646	1
1652	1
1696	1
1709	1
1720	1
1755	1
1782	0
1804	1
1840	1
1856	1
1864	1
1875	1
1893	1
1901	1
1907	0
1940	0
1954	1
1962	1
1978	1
1997	1
