trial	hit
26	0
37	0
60	1
100	1
108	1
115	0
127	1
138	0
147	1
158	0
184	0
191	0
204	1
223	0
231	1
240	1
261	1
286	1
325	0
343	1
355	1
412	0
457	0
485	0
534	1
548	1
555	1
568	1
607	0
621	1
669	0
691	1
709	1
742	1
750	0
765	1
771	1
778	1
792	0
804	1
826	0
840	1
865	0
871	0
893	1
905	1
933	0
949	1
1020	1
1036	1
1059	1
1102	0
1120	1
1148	1
1166	1
1176	1
1184	1
1191	0
1233	0
1256	0
1267	0
1312	1
1319	1
1335	1
1361	1
1389	0
1395	1
1440	1
1448	0
1462	0
1469	0
1505	1
1554	0
1592	1
1598	0
1609	0
1621	1
1627	1
1644	1
1665	1
1680	1
1699	1
1707	0
1728	0
1764	1
1770	0
1826	0
1860	0
1890	0
1904	1
1921	0
1936	0
1948	1
1967	1
2004	0
2011	1
