target_ele	target_azi	response_ele	response_azi
-37.5	-35.0	-21.4	-28.2
-37.5	35.0	-18.3	32.9
12.5	-52.5	4.5	-53.1
-25.0	-17.5	-18.7	-14.8
25.0	35.0	21.2	32.2
0.0	-35.0	-19.4	-33.7
37.5	-35.0	33.0	-41.1
-12.5	-52.5	-23.1	-51.6
12.5	0.0	15.5	-2.0
-25.0	17.5	7.3	16.7
12.5	-17.5	12.2	-19.0
37.5	35.0	20.9	38.3
0.0	52.5	-24.9	55.3
37.5	-17.5	32.1	-25.1
37.5	17.5	21.3	18.8
-12.5	0.0	-19.8	0.3
25.0	-35.0	20.7	-38.3
0.0	35.0	-18.9	34.0
25.0	-52.5	2.3	-52.4
-25.0	-35.0	-29.4	-37.3
25.0	-17.5	17.5	-20.8
-25.0	0.0	-16.7	1.3
25.0	0.0	24.7	-2.4
-12.5	17.5	-11.6	21.7
25.0	17.5	24.1	16.8
-25.0	-52.5	-31.3	-49.7
12.5	-35.0	1.2	-37.4
-37.5	-17.5	-18.3	-12.8
25.0	52.5	15.7	51.2
-12.5	35.0	-22.2	38.0
-12.5	-17.5	-14.4	-17.0
37.5	0.0	34.2	-0.6
0.0	-17.5	-27.3	-14.3
-25.0	35.0	-13.9	25.8
12.5	52.5	-6.3	56.8
-12.5	-35.0	-35.9	-30.4
12.5	35.0	-13.1	30.7
-37.5	0.0	9.7	-1.6
-25.0	52.5	-27.1	54.4
0.0	17.5	-1.5	19.7
-37.5	17.5	-1.8	13.0
0.0	-52.5	-15.0	-47.0
12.5	17.5	9.1	17.0
-12.5	52.5	-32.6	59.6
-12.5	-35.0	-20.4	-35.7
0.0	52.5	-6.6	55.2
-25.0	-17.5	-11.2	-16.4
25.0	35.0	18.1	29.8
37.5	-17.5	26.4	-23.0
0.0	35.0	-3.0	31.9
-25.0	-35.0	-28.7	-33.6
-37.5	0.0	11.7	-2.6
0.0	-17.5	3.3	-16.0
12.5	35.0	-17.0	34.7
-12.5	0.0	-16.0	0.1
12.5	-52.5	20.8	-56.8
12.5	52.5	5.3	53.8
-12.5	17.5	-17.0	21.4
25.0	-52.5	15.5	-55.3
-37.5	-17.5	-20.2	-15.5
-37.5	35.0	-22.0	37.8
-12.5	-17.5	-0.0	-17.9
0.0	17.5	-0.9	22.1
12.5	-35.0	-13.9	-35.4
25.0	52.5	11.5	53.4
-25.0	35.0	-22.2	39.5
-37.5	-35.0	-35.1	-33.2
0.0	-52.5	-14.5	-48.1
-12.5	35.0	-20.6	34.5
25.0	-17.5	24.7	-23.6
12.5	17.5	8.6	21.8
-12.5	52.5	-27.7	54.8
-12.5	-52.5	-24.8	-40.1
37.5	17.5	25.4	20.8
-25.0	-52.5	-32.4	-49.8
12.5	-17.5	16.6	-19.6
-25.0	52.5	-25.9	53.6
37.5	0.0	34.4	-5.6
37.5	-35.0	35.7	-38.4
-25.0	0.0	-12.0	-0.7
37.5	35.0	19.6	36.0
12.5	0.0	11.4	-2.2
25.0	-35.0	20.3	-34.8
-37.5	17.5	12.7	17.5
25.0	17.5	2.4	20.2
0.0	-35.0	-17.2	-33.4
-25.0	17.5	-13.6	21.5
25.0	0.0	16.0	-4.3
-12.5	-35.0	-23.0	-34.8
12.5	35.0	-16.3	39.0
-25.0	17.5	-2.5	22.6
-12.5	-52.5	-21.1	-49.4
-25.0	-17.5	-15.2	-16.1
-12.5	17.5	-16.2	24.1
-25.0	-35.0	-22.5	-30.5
37.5	17.5	21.3	19.1
0.0	-17.5	16.1	-19.3
0.0	17.5	-16.8	23.4
0.0	-52.5	2.1	-40.7
0.0	52.5	-6.5	56.8
-37.5	35.0	-4.1	39.9
-12.5	-17.5	-16.6	-15.8
37.5	35.0	17.4	38.2
25.0	-17.5	18.5	-20.5
25.0	52.5	4.8	55.6
37.5	-17.5	36.1	-23.5
0.0	35.0	-3.9	37.4
25.0	-52.5	16.5	-56.0
37.5	0.0	48.0	-5.6
-37.5	17.5	-13.4	15.8
25.0	-35.0	20.1	-43.2
25.0	0.0	17.1	-4.2
-12.5	52.5	-25.4	58.1
-25.0	0.0	-20.1	2.2
12.5	17.5	-1.5	18.0
-25.0	52.5	-28.1	56.6
12.5	52.5	-15.2	53.9
-37.5	-35.0	-36.0	-36.0
25.0	17.5	15.4	16.0
-12.5	35.0	-27.3	39.3
-37.5	-17.5	-35.5	-14.9
0.0	-35.0	-14.5	-37.3
37.5	-35.0	35.8	-44.2
-25.0	35.0	-18.2	39.7
12.5	0.0	16.6	-4.9
-25.0	-52.5	-32.7	-48.1
12.5	-35.0	-21.7	-31.4
-37.5	0.0	-1.1	-0.3
12.5	-52.5	14.5	-54.4
12.5	-17.5	11.3	-19.9
25.0	35.0	15.0	37.3
-12.5	0.0	-24.8	1.2
