trial	target_ele	response_ele
6	37.5	12.6
31	-37.5	-12.1
47	37.5	29.9
63	-12.5	-13.6
82	-12.5	-36.9
111	37.5	11.5
123	37.5	13.2
145	-37.5	-33.9
167	37.5	17.1
183	-12.5	-12.6
202	-12.5	13.4
227	-12.5	-33.5
12	12.5	8.3
25	-37.5	-18.0
47	12.5	-16.7
68	-37.5	30.5
90	37.5	10.1
105	-37.5	-40.6
122	-37.5	11.2
150	37.5	27.8
166	-12.5	-41.8
183	-37.5	31.5
204	37.5	-39.1
224	-12.5	8.7
3	37.5	10.9
27	-37.5	11.9
49	-12.5	32.3
70	-12.5	-14.7
82	-12.5	13.7
102	12.5	-18.2
122	12.5	11.4
142	-37.5	-41.8
170	-37.5	14.9
182	-37.5	-39.0
211	12.5	14.8
224	37.5	-19.0
7	-12.5	-17.1
32	-12.5	30.2
46	-12.5	-20.1
64	-12.5	10.8
90	-37.5	-41.8
110	-12.5	8.0
129	-12.5	-21.6
142	37.5	-43.3
167	12.5	-15.4
187	-12.5	8.2
209	-37.5	7.5
222	-12.5	-18.3
8	12.5	-14.6
32	12.5	-19.0
46	12.5	9.6
64	-37.5	-38.9
84	12.5	7.7
103	37.5	-18.8
124	-12.5	9.3
150	-12.5	3.5
166	-12.5	29.0
186	12.5	-22.1
202	-12.5	9.4
232	-37.5	-42.4
2	12.5	-17.6
23	12.5	-41.7
52	-37.5	6.5
71	-37.5	-19.7
92	37.5	8.6
111	12.5	27.3
124	-37.5	-21.9
148	-12.5	9.3
169	-37.5	-36.8
186	-12.5	8.4
206	37.5	-40.5
226	12.5	26.4
