target_ele	response_ele
-25	-1.82
50	n/a
0	9.85
-50	-16.88
25	-0.2
-50	-29.89
50	60.09
-25	-14.61
0	7.66
25	16.52
0	6.55
-50	-21.76
-25	-16.76
50	37.99
25	16.57
