trial	target_ele	response_ele
14	12.5	-14.54
23	12.5	n/a
35	-12.5	-22.98
58	-12.5	-37.98
76	37.5	14.17
102	-37.5	26.52
109	12.5	5.46
115	-37.5	-23.14
127	37.5	15.79
183	12.5	-39.82
209	-12.5	6.98
220	12.5	26.34
238	12.5	-23.45
267	-12.5	40.71
278	37.5	4.26
287	12.5	-36.42
303	-12.5	4.04
315	-12.5	-34.87
361	-37.5	-6.48
371	37.5	-53.91
383	37.5	-9.51
403	37.5	33.7
413	-12.5	-40.69
422	-37.5	n/a
462	-37.5	-7.85
500	12.5	6.39
525	-12.5	14.12
538	-12.5	30.67
555	-37.5	-51.7
563	-12.5	-21.76
574	-37.5	7.66
604	12.5	-7.77
618	37.5	-8.63
654	12.5	-20.49
669	12.5	27.22
679	12.5	5.64
692	12.5	5.58
722	-12.5	27.52
746	-37.5	42.15
758	37.5	-9.12
797	-37.5	25.65
822	-37.5	-0.47
841	37.5	-25.38
851	-12.5	9.02
858	12.5	23.71
877	37.5	n/a
889	37.5	-26.46
911	12.5	-8.81
918	-12.5	34.54
932	37.5	5.92
949	-37.5	-24.26
955	37.5	-28.25
980	37.5	8.81
1004	37.5	7.32
1044	-37.5	-36.48
1082	-37.5	31.93
1093	37.5	-8.09
1105	-12.5	35.03
1129	12.5	5.98
1135	12.5	-39.11
1151	12.5	-38.19
1159	12.5	12.03
1187	-37.5	-52.52
1235	-12.5	-37.61
1242	-12.5	-9.79
1248	-12.5	-11.39
1254	12.5	-3.14
1301	37.5	28.58
1318	-37.5	10.26
1327	37.5	-21.03
1341	-12.5	-36.58
1346	-12.5	14.55
