target_ele	target_azi	response_ele	response_azi
12.5	35.0	-22.8	38.4
0.0	-17.5	-38.9	-20.8
0.0	17.5	9.2	19.5
-25.0	-52.5	-24.0	-55.4
12.5	17.5	-38.9	23.3
-12.5	-52.5	-7.2	-57.5
12.5	52.5	-25.6	54.5
25.0	17.5	-25.0	21.9
12.5	-35.0	-28.0	-33.6
37.5	17.5	-12.7	21.1
25.0	-35.0	-38.1	-40.3
-37.5	17.5	-39.5	23.0
-12.5	52.5	-24.6	53.9
-25.0	-17.5	9.4	-19.0
0.0	35.0	-15.5	37.5
0.0	-52.5	-7.6	-58.6
25.0	35.0	-14.6	52.1
-12.5	0.0	-33.1	3.3
37.5	0.0	-13.6	1.4
37.5	35.0	-37.6	39.9
25.0	0.0	-22.7	2.0
37.5	-35.0	36.3	-47.5
-37.5	-35.0	-34.3	-35.5
0.0	52.5	-37.1	48.6
37.5	-17.5	10.3	-18.3
-37.5	-17.5	26.8	-5.9
12.5	0.0	9.9	-1.0
-25.0	52.5	-36.8	54.2
12.5	-52.5	21.5	-60.0
-12.5	17.5	-38.9	24.1
12.5	-17.5	-11.2	-16.6
-37.5	35.0	-25.9	39.5
-12.5	-17.5	-17.3	-15.1
-25.0	17.5	-11.5	19.3
-12.5	-35.0	-26.4	-38.2
25.0	-52.5	31.5	-59.9
-25.0	-35.0	-37.8	-18.4
-37.5	0.0	-50.6	4.2
-12.5	35.0	-37.7	42.0
0.0	-35.0	-36.3	-41.3
-25.0	35.0	-24.1	39.7
25.0	-17.5	-13.7	-16.2
25.0	52.5	-3.6	51.7
-25.0	0.0	-14.5	0.7
-25.0	-35.0	-19.1	-40.8
12.5	-17.5	15.1	-20.3
-25.0	17.5	-18.8	17.5
12.5	-35.0	0.1	-34.4
-25.0	0.0	19.2	-1.0
37.5	17.5	14.8	20.5
0.0	-52.5	0.8	-54.7
-12.5	52.5	-24.8	50.4
25.0	17.5	-15.8	20.7
-25.0	-52.5	17.6	-58.1
-25.0	35.0	-19.7	37.7
12.5	0.0	30.4	-3.0
37.5	35.0	5.2	34.3
0.0	-35.0	-9.3	-34.2
-37.5	17.5	-11.7	21.4
25.0	52.5	-17.4	52.0
-12.5	35.0	21.8	48.0
37.5	-17.5	4.6	-17.4
0.0	52.5	-28.5	52.8
-12.5	0.0	-36.6	6.1
25.0	35.0	-35.7	41.9
-12.5	17.5	9.7	19.6
25.0	-17.5	-0.7	-16.4
12.5	52.5	14.6	52.7
-25.0	-17.5	26.2	-21.2
37.5	-35.0	24.1	-42.4
37.5	0.0	9.1	-0.6
12.5	-52.5	34.9	-62.4
-37.5	-17.5	-27.7	-14.9
12.5	17.5	-12.6	21.6
-37.5	0.0	-24.0	2.8
25.0	-35.0	22.8	-38.1
-25.0	52.5	-25.8	51.8
0.0	-17.5	5.8	-17.5
-37.5	35.0	5.0	29.2
25.0	0.0	17.7	-2.2
-12.5	-35.0	-9.7	-36.7
12.5	35.0	-30.0	39.6
-37.5	-35.0	-38.2	-42.4
0.0	35.0	24.3	35.0
-12.5	-17.5	20.9	-22.7
25.0	-52.5	13.5	-57.7
0.0	17.5	28.5	17.2
-12.5	-52.5	3.9	-45.9
-12.5	0.0	22.1	-1.0
0.0	-52.5	12.3	-59.1
12.5	0.0	0.2	-0.2
12.5	35.0	-26.5	40.1
12.5	-35.0	-21.6	-40.4
25.0	17.5	12.6	16.5
-12.5	17.5	5.0	18.0
0.0	-35.0	5.9	-34.7
-37.5	-35.0	-18.1	-23.1
-25.0	0.0	10.1	-0.3
-25.0	-52.5	18.5	-56.3
0.0	-17.5	22.8	-19.9
-25.0	35.0	-15.9	36.4
-12.5	-35.0	-20.7	-37.2
0.0	52.5	14.5	50.3
-25.0	-17.5	-1.1	-16.2
-37.5	35.0	-15.3	36.7
0.0	17.5	22.9	18.3
37.5	-17.5	13.3	-19.8
-25.0	52.5	-3.6	46.0
-25.0	17.5	11.7	17.0
25.0	52.5	24.2	49.9
25.0	-17.5	15.0	-21.1
12.5	17.5	14.5	16.8
12.5	52.5	33.3	48.1
25.0	0.0	-12.6	1.3
-37.5	17.5	-2.1	19.0
-37.5	-17.5	-6.4	-16.8
-12.5	35.0	11.4	34.4
12.5	-17.5	-0.8	-15.7
12.5	-52.5	0.6	-57.5
-37.5	0.0	-29.7	4.5
37.5	35.0	-22.1	38.4
25.0	-35.0	29.7	-42.0
0.0	35.0	-1.4	36.1
37.5	0.0	12.5	-1.7
25.0	-52.5	9.0	-58.6
25.0	35.0	29.5	33.6
-25.0	-35.0	-34.3	-32.6
37.5	-35.0	39.7	-44.4
-12.5	-17.5	23.5	-18.6
37.5	17.5	9.1	18.3
-12.5	-52.5	20.8	-59.6
-12.5	52.5	-18.1	52.8
