trial	hit
6	1
16	1
45	1
78	1
103	1
116	1
136	0
171	1
183	0
214	1
222	1
239	0
251	0
277	1
333	0
352	0
368	1
377	1
383	1
405	1
426	0
441	0
474	0
480	1
512	1
547	1
557	0
564	1
587	1
630	1
680	0
687	1
693	1
704	0
724	0
738	0
771	0
817	1
826	1
858	0
865	0
885	1
909	1
915	0
931	0
944	0
957	0
969	0
1016	1
1048	1
1059	1
1066	1
1077	1
1090	1
1098	1
1149	0
1171	1
1178	0
1196	1
1239	0
1251	0
1270	1
1321	1
1343	1
1376	1
1387	1
1408	0
1432	1
1443	1
1451	0
1458	0
1493	1
1531	1
1541	1
1586	1
1602	0
1626	1
1654	1
1674	1
1682	1
1691	0
1716	0
1735	1
1758	1
1773	1
1784	1
1800	1
1819	0
1859	1
1890	1
1903	1
1917	1
1936	1
1949	1
1965	0
1976	1
