trial	target_ele	response_ele
9	37.5	11.9
22	-37.5	-11.3
46	12.5	13.7
65	12.5	-15.9
86	-37.5	-42.5
103	-12.5	-15.9
124	12.5	-13.0
151	-37.5	-40.6
171	-37.5	13.6
189	12.5	11.6
203	-12.5	13.3
227	-37.5	-21.8
8	12.5	17.1
28	-12.5	-12.0
47	12.5	21.2
67	-37.5	-22.7
84	12.5	14.5
103	-37.5	12.1
127	37.5	13.4
151	-37.5	-39.5
169	-37.5	-12.1
187	-12.5	13.9
209	37.5	34.6
231	12.5	15.0
3	37.5	32.6
29	12.5	33.0
44	12.5	16.3
65	12.5	14.6
84	-37.5	-12.4
103	-12.5	14.0
132	12.5	32.6
151	-12.5	-39.8
171	37.5	14.9
192	12.5	34.4
208	12.5	14.9
231	12.5	32.6
12	37.5	31.2
23	12.5	13.1
50	-37.5	13.7
65	-37.5	13.0
91	12.5	15.7
110	12.5	17.0
126	12.5	16.8
142	-37.5	-13.3
168	-12.5	12.7
190	-37.5	-40.9
212	-12.5	-13.2
222	-37.5	-12.8
7	-12.5	-10.2
22	-12.5	11.7
49	37.5	35.5
68	37.5	14.3
87	-37.5	-12.2
109	37.5	35.5
127	37.5	18.7
147	37.5	16.9
166	-37.5	12.9
190	-37.5	-35.9
202	-37.5	16.0
226	-12.5	-44.2
7	37.5	13.1
26	-12.5	10.0
45	12.5	-14.2
69	37.5	34.4
88	-37.5	-39.6
106	12.5	13.5
122	-37.5	13.0
144	37.5	-10.5
167	37.5	12.1
187	37.5	33.5
203	-37.5	-42.1
228	-37.5	-19.6
