target_ele	target_azi	response_ele	response_azi
12.5	-35.0	25.8	-29.4
-25.0	17.5	-11.9	21.5
37.5	35.0	19.7	34.9
-12.5	0.0	-13.7	4.7
-12.5	-35.0	1.3	-27.6
-25.0	35.0	-8.6	39.3
25.0	-52.5	29.5	-53.0
0.0	17.5	10.0	23.5
0.0	-35.0	25.8	-32.2
25.0	35.0	19.9	43.1
-12.5	17.5	4.0	20.3
-12.5	52.5	-31.3	55.6
0.0	-17.5	6.1	-17.8
37.5	0.0	16.9	1.8
12.5	-52.5	10.6	-56.2
-25.0	-35.0	-31.3	-35.8
25.0	52.5	3.8	56.9
12.5	-17.5	22.8	-10.7
-37.5	0.0	4.4	4.7
12.5	17.5	11.8	21.6
-12.5	-17.5	-10.0	-13.7
0.0	-52.5	5.6	-52.9
25.0	17.5	11.0	17.9
-25.0	-17.5	-21.6	-16.2
-37.5	17.5	4.5	21.4
-25.0	52.5	-27.7	54.4
37.5	-35.0	40.0	-37.2
12.5	35.0	6.5	40.8
25.0	-35.0	23.5	-42.3
-37.5	-35.0	-42.4	-45.0
37.5	17.5	18.0	22.6
-37.5	-17.5	-31.5	-15.3
0.0	35.0	2.7	34.7
37.5	-17.5	23.5	-18.9
-12.5	35.0	-18.1	46.3
25.0	0.0	12.2	3.2
-37.5	35.0	-16.7	42.7
-25.0	0.0	0.2	0.7
-25.0	-52.5	-39.7	-50.4
0.0	52.5	4.8	58.6
-12.5	-52.5	-22.9	-58.9
25.0	-17.5	25.7	-16.8
12.5	52.5	10.7	54.1
12.5	0.0	-22.1	3.6
-25.0	-52.5	-42.8	-49.9
0.0	35.0	-9.2	40.7
12.5	-52.5	21.9	-52.5
12.5	0.0	9.4	2.9
-12.5	-35.0	-10.4	-37.6
-25.0	17.5	-11.6	21.9
0.0	52.5	5.1	55.6
12.5	-17.5	17.9	-15.7
-25.0	-35.0	-24.1	-35.3
12.5	-35.0	27.2	-37.9
-25.0	-17.5	-19.8	-11.7
-37.5	35.0	-22.2	43.4
-12.5	0.0	-7.7	3.8
0.0	-52.5	4.0	-59.7
0.0	17.5	4.9	20.2
-37.5	-17.5	-50.2	-16.6
25.0	-52.5	11.3	-57.0
12.5	35.0	-14.2	43.7
-12.5	-52.5	-27.5	-57.8
0.0	-17.5	-4.2	-12.1
37.5	-17.5	21.9	-19.3
-12.5	17.5	-0.6	18.1
-37.5	-35.0	-45.2	-42.4
-12.5	52.5	-37.9	56.0
25.0	52.5	14.2	61.9
-25.0	52.5	-26.0	59.9
37.5	0.0	21.6	10.3
0.0	-35.0	25.7	-45.8
12.5	17.5	11.2	20.0
12.5	52.5	10.2	59.5
37.5	-35.0	41.0	-31.2
25.0	35.0	36.1	45.4
25.0	-17.5	35.9	-20.8
37.5	17.5	21.9	19.5
-25.0	35.0	-28.8	41.1
-12.5	-17.5	-0.3	-17.8
25.0	17.5	23.6	22.5
-37.5	17.5	-10.1	17.6
37.5	35.0	31.0	42.2
-12.5	35.0	-20.0	47.5
-25.0	0.0	0.2	2.5
25.0	0.0	16.2	3.8
25.0	-35.0	26.6	-45.9
-37.5	0.0	-4.8	1.9
-12.5	-35.0	-17.7	-38.7
-12.5	0.0	-7.9	0.6
-37.5	-35.0	-48.6	-39.9
-37.5	0.0	-18.5	3.5
37.5	17.5	17.6	19.1
-37.5	35.0	-27.3	41.9
12.5	-52.5	16.3	-56.3
25.0	35.0	20.0	45.9
25.0	0.0	9.6	3.5
-12.5	17.5	-21.0	20.1
12.5	-17.5	14.2	-23.8
0.0	52.5	0.1	59.5
-25.0	-52.5	-45.3	-52.1
-12.5	-17.5	-7.1	-16.6
25.0	-35.0	31.8	-37.3
-25.0	-17.5	-6.4	-18.9
12.5	0.0	10.4	5.5
12.5	52.5	12.9	56.8
25.0	17.5	13.8	19.4
0.0	-52.5	-1.7	-54.5
37.5	-35.0	22.2	-37.6
-12.5	35.0	-17.1	43.0
25.0	-17.5	21.1	-11.3
-25.0	52.5	-29.1	55.5
-37.5	17.5	4.5	18.8
37.5	0.0	28.2	4.8
-25.0	17.5	-5.1	18.3
-25.0	-35.0	-15.5	-31.2
0.0	17.5	4.9	18.6
25.0	52.5	10.9	55.1
37.5	-17.5	42.9	-13.1
25.0	-52.5	31.6	-56.1
12.5	17.5	17.3	17.2
0.0	-17.5	9.0	-16.2
0.0	35.0	0.8	35.2
-12.5	-52.5	-22.7	-52.5
-25.0	0.0	-11.9	4.0
-12.5	52.5	-22.4	56.3
0.0	-35.0	-6.1	-34.4
-25.0	35.0	-11.3	39.2
12.5	-35.0	34.3	-35.9
12.5	35.0	12.8	38.7
-37.5	-17.5	-36.3	-12.0
37.5	35.0	24.5	39.5
