trial	hit
29	0
40	0
54	1
65	1
92	0
121	0
172	0
183	0
190	1
196	0
217	1
226	0
242	0
250	0
257	1
268	0
305	1
334	0
347	0
388	0
394	1
401	0
423	1
429	0
566	0
577	0
583	1
599	1
605	0
616	0
655	0
683	0
728	0
735	0
767	0
782	0
805	0
820	1
893	0
915	1
923	0
940	0
959	0
967	1
984	0
993	1
999	1
1005	0
1023	0
1031	0
1045	0
1051	0
1086	0
1110	0
1135	0
1150	0
1156	0
1166	0
1184	0
1197	1
1204	0
1212	0
1259	0
1361	0
1369	1
1399	0
1405	0
1420	0
1436	0
1482	0
1499	1
1510	0
1521	1
1545	0
1577	0
1588	1
1601	1
1630	0
1637	1
1681	0
1727	0
1733	0
1753	0
1787	0
1796	0
1808	0
1832	0
1841	0
1853	1
1877	0
1914	1
1930	1
1954	0
1967	0
1974	0
2006	0
