trial	target_ele	response_ele
20	12.5	-23.3
47	-12.5	-20.25
75	-37.5	-40.1
89	37.5	n/a
105	12.5	42.3
141	-37.5	-50.57
164	12.5	3.49
169	-37.5	-37.38
176	-37.5	-27.27
190	-37.5	-18.23
200	-12.5	n/a
223	-37.5	-38.28
236	12.5	n/a
251	37.5	n/a
266	37.5	n/a
288	12.5	7.77
293	-12.5	-5.69
298	-37.5	-28.88
328	-37.5	-37.24
357	37.5	n/a
366	-12.5	-19.91
390	37.5	n/a
403	37.5	n/a
420	-37.5	-51.89
462	37.5	n/a
473	-12.5	-22.19
486	12.5	1.92
500	37.5	n/a
513	-12.5	-8.32
557	37.5	n/a
570	37.5	n/a
581	-12.5	-11.28
617	-12.5	10.79
624	-12.5	-6.22
645	-12.5	-40.97
683	-37.5	-40.46
699	37.5	n/a
711	37.5	n/a
717	12.5	24.14
728	-12.5	2.01
733	12.5	-4.59
738	-37.5	-31.52
756	12.5	-3.37
781	37.5	n/a
817	37.5	n/a
837	-12.5	-23.27
884	-37.5	-39.67
890	-12.5	-20.99
939	-12.5	-10.59
963	-37.5	-39.29
972	-37.5	-52.84
980	-37.5	-40.29
987	37.5	n/a
1001	12.5	-19.67
1026	37.5	n/a
1035	12.5	-5.79
1045	12.5	-6.78
1058	37.5	n/a
1089	12.5	-4.19
1135	-37.5	-32.35
1146	-12.5	3.78
1157	-12.5	-23.32
1178	12.5	6.12
1191	-37.5	-39.37
1233	-12.5	-0.13
1246	-37.5	-29.69
1278	-37.5	-39.48
1283	-12.5	3.08
1291	37.5	n/a
1297	37.5	n/a
1310	-12.5	-21.26
1345	-12.5	-29.35
