trial	target_ele	response_ele
16	-12.5	-30.61
31	-37.5	-44.58
40	-37.5	-19.32
55	-37.5	30.21
62	-12.5	-16.8
92	-37.5	-45.3
149	-12.5	17.59
158	-12.5	-19.43
182	-12.5	-18.4
196	-12.5	-35.76
213	-12.5	28.5
223	37.5	-2.67
256	-37.5	-33.93
276	37.5	9.35
286	37.5	9.43
310	12.5	24.39
348	37.5	36.62
360	-37.5	-35.53
365	-12.5	-3.39
372	37.5	10.66
378	12.5	27.72
389	12.5	8.71
419	37.5	50.12
439	12.5	-21.73
461	12.5	-30.79
480	12.5	-24.03
486	-12.5	-3.49
523	-37.5	-12.02
534	-12.5	-1.33
554	12.5	14.04
592	37.5	30.56
622	37.5	16.76
641	37.5	39.62
652	37.5	20.27
658	12.5	-10.07
675	-12.5	-20.86
697	-12.5	-34.92
728	12.5	12.18
747	37.5	42.5
772	37.5	56.22
795	12.5	11.32
818	-37.5	-28.65
824	37.5	27.54
838	12.5	8.42
858	37.5	42.43
868	-12.5	-27.51
892	-37.5	-28.08
906	12.5	-28.16
933	37.5	-23.69
955	12.5	-20.93
962	12.5	12.78
969	37.5	11.08
985	-37.5	-35.27
1000	37.5	11.12
1005	37.5	9.97
1018	12.5	-20.4
1028	-12.5	-10.44
1103	-12.5	-6.56
1110	-12.5	-12.83
1124	-12.5	-22.43
1145	-12.5	-11.83
1150	12.5	-5.15
1167	12.5	7.61
1187	-12.5	23.5
1224	-37.5	-26.79
1234	37.5	10.32
1283	-37.5	-22.8
1290	12.5	-15.3
1302	37.5	13.48
1310	37.5	28.25
1328	-12.5	-13.59
1357	-12.5	-24.33
