trial	hit
30	0
41	0
49	1
72	0
92	0
128	1
148	0
162	1
192	0
219	1
243	0
262	0
272	1
294	0
300	0
316	1
332	0
348	0
363	1
404	0
411	1
459	0
467	0
482	0
510	0
527	0
548	0
575	0
584	0
606	0
637	0
643	0
653	1
669	1
675	1
686	0
700	0
706	0
742	0
766	0
776	0
830	0
858	1
880	0
896	0
930	0
974	0
997	0
1025	0
1045	0
1088	0
1124	0
1167	0
1181	0
1229	0
1237	0
1246	1
1264	0
1280	0
1296	0
1333	0
1341	1
1406	0
1425	0
1440	0
1449	0
1455	0
1461	1
1467	0
1486	0
1494	0
1509	0
1519	0
1531	0
1537	0
1552	0
1582	1
1609	0
1632	0
1664	1
1672	0
1684	0
1715	1
1729	1
1744	0
1757	1
1797	1
1808	1
1814	0
1829	0
1849	0
1868	0
1887	1
1921	0
1939	0
2001	0
