target_ele	target_azi	response_ele	response_azi
-12.5	35.0	20.0	31.9
-25.0	0.0	18.2	-2.4
37.5	0.0	23.5	-0.2
25.0	-52.5	7.2	-48.6
37.5	-17.5	25.4	-23.9
-12.5	17.5	28.8	29.3
-12.5	-52.5	19.9	-47.4
-12.5	0.0	24.8	6.9
37.5	17.5	0.9	22.2
-12.5	52.5	-33.1	50.4
0.0	-35.0	11.2	-30.7
-25.0	35.0	-17.3	37.8
25.0	0.0	7.6	1.2
-12.5	-17.5	4.3	-21.0
25.0	35.0	-1.8	38.8
-37.5	-35.0	12.4	-34.7
12.5	-52.5	9.8	-48.2
25.0	-17.5	13.2	-27.4
-37.5	17.5	-19.9	29.4
0.0	35.0	-21.3	37.9
12.5	-17.5	4.9	-21.7
-25.0	-35.0	-32.7	-32.1
25.0	52.5	2.1	45.5
-12.5	-35.0	10.6	-37.6
25.0	-35.0	-21.1	-39.0
37.5	35.0	-10.6	40.3
0.0	-17.5	11.6	-17.2
12.5	35.0	-22.2	40.0
-25.0	-17.5	8.9	-18.7
37.5	-35.0	10.8	-36.7
0.0	-52.5	-25.3	-48.9
12.5	17.5	1.4	20.9
0.0	52.5	-24.8	54.1
12.5	0.0	16.4	-1.1
-37.5	0.0	-25.9	3.0
12.5	52.5	-22.5	54.2
-25.0	17.5	-17.7	26.7
-25.0	-52.5	-26.1	-48.9
25.0	17.5	-8.0	24.8
12.5	-35.0	4.3	-36.5
-37.5	35.0	-33.6	44.0
-37.5	-17.5	-16.6	-13.4
0.0	17.5	22.9	20.5
-25.0	52.5	-32.1	53.9
12.5	35.0	-4.3	38.7
-12.5	-52.5	-30.0	-45.5
12.5	-17.5	-1.5	-22.1
-37.5	0.0	-21.1	3.3
12.5	52.5	-0.8	46.6
12.5	-52.5	-25.2	-48.8
0.0	52.5	-32.7	51.5
25.0	-52.5	-17.8	-47.9
-25.0	52.5	-32.9	47.3
0.0	-52.5	-26.6	-45.8
-12.5	0.0	9.0	-6.8
25.0	0.0	-20.4	1.5
-12.5	52.5	-22.5	49.0
37.5	35.0	-1.2	38.2
12.5	-35.0	-17.6	-35.5
-12.5	17.5	7.2	16.8
-12.5	-17.5	0.2	-19.7
-12.5	35.0	-20.7	41.4
-25.0	-52.5	-33.4	-44.2
-37.5	35.0	-34.1	42.8
0.0	17.5	15.5	17.9
25.0	52.5	-3.0	47.9
-25.0	0.0	-7.0	1.5
0.0	-35.0	-9.6	-30.8
-25.0	17.5	-12.5	23.8
37.5	0.0	-9.5	1.8
-37.5	17.5	-30.1	28.2
37.5	-35.0	5.3	-36.9
-37.5	-17.5	-2.6	-11.4
12.5	0.0	-15.2	-4.1
-25.0	35.0	-30.0	45.9
-25.0	-17.5	-12.0	-20.5
37.5	-17.5	-1.4	-22.2
0.0	35.0	-30.0	47.3
-37.5	-35.0	-0.7	-33.7
25.0	-35.0	-14.3	-41.4
37.5	17.5	5.4	23.2
-12.5	-35.0	-10.2	-33.3
25.0	17.5	-6.0	23.7
-25.0	-35.0	-11.7	-30.9
25.0	-17.5	7.9	-17.1
25.0	35.0	-16.5	46.0
0.0	-17.5	-0.6	-16.6
12.5	17.5	1.6	22.9
25.0	-52.5	-1.7	-49.0
12.5	35.0	-12.5	41.6
-25.0	35.0	-22.3	44.3
25.0	-17.5	1.4	-16.0
0.0	17.5	12.5	19.0
12.5	-17.5	2.6	-16.1
-37.5	35.0	-32.4	46.3
37.5	35.0	-2.4	39.2
-25.0	17.5	-19.7	24.8
0.0	-35.0	2.1	-33.9
37.5	-17.5	1.2	-12.7
25.0	35.0	-11.6	33.8
37.5	0.0	-8.4	4.8
-25.0	-35.0	-12.6	-33.6
-12.5	0.0	3.6	-4.2
-12.5	35.0	-24.8	38.7
-25.0	-17.5	-20.6	-19.1
12.5	-52.5	-22.6	-48.2
-12.5	52.5	-32.9	52.6
12.5	17.5	-10.7	26.1
25.0	-35.0	-10.2	-36.8
-12.5	-52.5	-20.2	-48.5
-37.5	17.5	-26.3	30.8
0.0	52.5	-26.9	54.3
-37.5	-17.5	2.4	-14.5
12.5	0.0	-21.4	3.7
25.0	52.5	0.9	44.4
-25.0	52.5	-31.2	53.2
-25.0	0.0	-3.1	2.4
37.5	17.5	-0.3	20.8
0.0	-52.5	-18.0	-49.6
-12.5	17.5	1.3	15.9
-12.5	-35.0	4.5	-35.0
25.0	17.5	-0.9	20.9
0.0	-17.5	-8.4	-20.3
-25.0	-52.5	-23.5	-47.3
37.5	-35.0	11.7	-42.0
12.5	52.5	-1.6	47.5
25.0	0.0	-0.2	0.2
-12.5	-17.5	9.2	-18.4
0.0	35.0	-10.3	34.2
12.5	-35.0	-20.7	-32.1
-37.5	0.0	-0.4	0.5
-37.5	-35.0	-35.7	-31.7
