trial	target_ele	response_ele
11	12.5	0.4
31	-37.5	1.0
42	37.5	16.5
69	37.5	4.9
84	-37.5	10.4
102	37.5	-6.3
125	12.5	0.7
150	37.5	21.7
164	-37.5	-20.2
191	37.5	19.5
207	-12.5	5.8
223	-37.5	5.6
6	37.5	9.8
28	-12.5	9.2
45	37.5	0.5
71	37.5	13.2
87	12.5	20.7
102	12.5	1.9
125	12.5	1.9
145	37.5	11.6
169	12.5	18.4
187	37.5	3.7
205	-12.5	3.7
225	-12.5	22.3
3	12.5	14.2
31	37.5	11.7
52	37.5	1.1
62	-12.5	2.4
84	12.5	-14.1
106	-37.5	5.8
127	-37.5	17.3
149	-12.5	0.5
171	-37.5	-0.8
191	-37.5	18.5
206	37.5	16.9
229	12.5	-0.0
7	12.5	6.1
22	12.5	16.7
51	37.5	7.9
67	37.5	2.7
82	-12.5	0.1
110	12.5	19.5
130	12.5	0.7
144	-12.5	19.5
169	-12.5	-11.0
188	-12.5	5.4
205	-37.5	15.1
222	-37.5	16.3
3	12.5	0.2
32	-12.5	-0.6
49	37.5	0.8
63	37.5	17.1
89	37.5	1.5
103	-37.5	-0.4
129	12.5	-23.7
145	-12.5	14.4
165	-37.5	0.7
188	-37.5	-0.5
204	12.5	13.8
225	-37.5	14.0
7	37.5	1.7
26	-12.5	10.9
49	-12.5	13.0
67	-37.5	3.8
85	-12.5	3.1
102	-37.5	2.4
130	37.5	6.3
143	37.5	2.7
164	37.5	0.4
190	-37.5	-20.9
212	-12.5	1.2
230	12.5	3.3
