trial	hit
5	0
31	0
48	0
81	0
99	0
120	0
129	1
143	1
150	0
174	0
180	1
187	0
232	1
254	1
304	0
310	1
331	1
347	1
365	0
381	0
398	1
408	0
482	1
495	0
524	0
563	1
577	1
584	0
590	0
605	0
613	1
664	1
678	0
687	0
708	0
737	0
767	0
796	0
806	0
840	1
864	1
876	1
882	0
901	0
924	0
938	1
945	1
963	1
1022	1
1074	1
1102	0
1137	0
1147	0
1180	0
1198	1
1235	1
1248	0
1260	1
1292	0
1300	0
1317	0
1324	1
1340	1
1377	1
1393	1
1400	1
1411	1
1443	0
1450	1
1459	1
1484	0
1490	0
1524	1
1535	0
1541	0
1576	0
1601	0
1616	0
1629	1
1639	1
1676	0
1688	0
1712	0
1757	1
1768	0
1782	0
1809	0
1824	0
1860	0
1866	0
1878	0
1887	0
1896	1
1902	0
1954	0
1972	0
