trial	hit
15	0
29	0
48	0
73	0
79	1
103	0
112	0
123	0
146	0
160	1
181	0
187	1
252	0
279	0
297	0
316	0
330	1
337	0
346	0
382	0
389	0
405	1
426	1
449	0
534	1
540	1
586	0
598	1
606	1
623	1
654	1
698	0
714	0
720	0
754	0
774	0
786	0
796	0
813	0
821	1
832	1
874	1
881	1
893	1
928	1
947	0
968	0
982	1
1016	0
1043	1
1055	1
1064	0
1077	1
1083	1
1089	1
1199	0
1206	0
1226	0
1233	1
1251	1
1257	1
1266	0
1284	0
1301	1
1310	1
1331	1
1367	1
1387	0
1405	0
1456	1
1477	1
1498	1
1524	0
1564	1
1585	0
1593	1
1617	1
1630	1
1641	1
1670	1
1684	1
1709	1
1716	1
1740	0
1779	1
1785	0
1812	1
1837	1
1849	1
1855	1
1866	1
1873	1
1879	1
1886	1
1950	1
1967	1
