trial	target_ele	response_ele
23	-37.5	-32.83
29	12.5	11.51
43	-37.5	-45.69
64	37.5	7.76
70	12.5	-7.49
83	12.5	6.97
128	37.5	5.15
148	37.5	14.84
185	12.5	-5.52
190	-37.5	-31.13
217	37.5	18.2
223	-37.5	-21.29
259	-37.5	-35.14
267	12.5	n/a
273	37.5	-6.63
292	37.5	12.73
311	37.5	19.86
323	-37.5	-36.44
334	-37.5	-27.39
371	-12.5	-18.13
405	37.5	17.06
433	37.5	10.46
438	-37.5	-29.64
444	-12.5	-21.29
460	-37.5	-33.57
466	37.5	4.75
501	-12.5	-4.44
507	-12.5	-1.38
519	37.5	3.93
550	-12.5	-3.57
561	-37.5	-28.6
575	37.5	5.12
612	12.5	0.17
629	-37.5	-28.57
634	37.5	2.62
647	37.5	3.29
709	-37.5	-32.39
761	-12.5	5.42
785	37.5	19.69
806	-37.5	-24.84
819	12.5	5.74
847	-12.5	-24.14
856	37.5	-1.73
861	37.5	3.63
873	-37.5	-33.22
878	37.5	20.42
888	37.5	20.0
901	12.5	-4.84
924	-12.5	-22.07
980	12.5	n/a
989	-12.5	-21.88
1009	-37.5	-32.98
1025	-37.5	-38.94
1042	37.5	3.51
1047	37.5	3.12
1057	12.5	5.83
1086	-12.5	-21.33
1094	-12.5	-20.56
1111	37.5	3.47
1128	-12.5	-20.48
1152	-12.5	-21.07
1179	-37.5	-32.67
1186	-12.5	-22.62
1195	12.5	5.45
1231	12.5	6.39
1248	-37.5	-23.06
1259	-12.5	-21.99
1286	37.5	10.36
1294	-37.5	-22.28
1328	37.5	3.82
1336	37.5	2.44
1367	37.5	4.17
