trial	target_ele	response_ele
12	37.5	25.29
18	12.5	22.99
24	-37.5	-11.06
36	37.5	35.84
43	12.5	0.67
54	37.5	30.7
102	-37.5	-11.35
130	37.5	23.7
186	37.5	12.64
193	37.5	44.36
206	12.5	12.76
221	12.5	0.31
247	-37.5	-28.47
302	-12.5	1.02
322	-12.5	0.56
342	37.5	13.74
347	37.5	29.99
357	-12.5	2.46
366	12.5	1.16
379	-37.5	6.57
385	12.5	16.94
409	-12.5	2.35
415	37.5	27.99
421	12.5	12.76
472	12.5	-0.33
488	12.5	15.81
525	37.5	22.39
534	-37.5	-13.71
551	-12.5	0.99
573	12.5	11.75
583	12.5	-1.07
602	-37.5	-13.0
608	-12.5	0.15
645	-12.5	-9.7
663	12.5	1.46
681	37.5	22.79
699	37.5	28.55
727	37.5	11.79
750	37.5	13.36
755	-37.5	-26.03
780	37.5	33.7
785	37.5	31.96
804	-37.5	-12.84
812	-37.5	-12.04
818	-37.5	-24.73
823	37.5	14.45
846	-12.5	1.14
895	37.5	0.81
917	-12.5	-0.83
922	-37.5	-34.37
932	12.5	16.71
937	37.5	29.36
955	-37.5	-27.11
965	-12.5	-14.13
970	-12.5	0.8
1006	-37.5	-20.13
1018	-37.5	-23.36
1079	-37.5	-13.79
1093	37.5	15.79
1106	37.5	32.26
1146	-37.5	-13.61
1151	37.5	28.55
1176	-37.5	-27.11
1181	37.5	14.8
1216	-37.5	-13.1
1246	-12.5	-0.09
1267	37.5	31.37
1293	12.5	12.27
1305	12.5	15.54
1311	-12.5	1.68
1354	37.5	31.03
1367	-12.5	2.83
