trial	target_ele	response_ele
18	-37.5	-12.25
45	12.5	5.84
74	-37.5	45.33
93	12.5	12.44
113	-37.5	-12.28
129	-12.5	40.71
165	-37.5	76.9
176	-12.5	50.13
207	-37.5	-22.2
213	37.5	-7.5
220	-12.5	-11.39
226	37.5	n/a
238	37.5	n/a
269	37.5	n/a
274	-12.5	3.05
281	12.5	34.33
298	-12.5	18.44
310	12.5	14.63
323	12.5	n/a
362	37.5	13.14
373	12.5	41.36
411	37.5	n/a
445	37.5	15.15
454	-37.5	-12.23
464	37.5	9.0
510	12.5	n/a
518	-12.5	-23.32
548	37.5	n/a
570	-37.5	18.75
581	-12.5	2.36
587	12.5	n/a
594	12.5	10.51
606	37.5	44.86
619	-37.5	3.64
639	-12.5	48.56
660	37.5	28.99
697	-37.5	17.69
717	12.5	-9.85
739	-37.5	0.02
752	-12.5	0.66
773	37.5	5.4
820	-37.5	-36.02
829	37.5	n/a
837	37.5	n/a
862	-12.5	-0.96
884	12.5	-10.92
891	12.5	n/a
896	12.5	7.35
921	12.5	9.29
931	-37.5	22.4
936	37.5	-11.39
941	-12.5	18.01
946	-12.5	-0.42
1002	-37.5	-8.75
1011	12.5	11.19
1034	37.5	43.61
1045	-37.5	19.63
1064	37.5	22.11
1107	37.5	n/a
1113	12.5	n/a
1152	-12.5	0.44
1157	12.5	n/a
1176	37.5	17.64
1198	37.5	15.14
1216	12.5	16.58
1223	37.5	-6.44
1259	-12.5	15.37
1266	37.5	-7.27
1301	37.5	38.33
1320	-37.5	1.35
1327	-37.5	-12.1
1366	-12.5	38.73
