target_ele	response_ele
-50	4.61
-25	-9.47
50	42.74
25	-3.69
0	-3.24
-25	-20.94
0	-1.28
25	20.78
50	45.18
-50	-45.57
25	-15.77
-50	-17.04
-25	-1.0
0	-0.81
50	32.36
