trial	target_ele	response_ele
10	12.5	-47.67
20	12.5	n/a
50	37.5	n/a
78	-12.5	-0.36
91	12.5	n/a
107	-12.5	0.1
136	-12.5	-27.33
153	-37.5	n/a
188	-12.5	0.35
194	12.5	1.06
212	-37.5	-44.97
225	-37.5	-26.35
261	12.5	11.18
267	37.5	-2.09
273	12.5	-20.44
285	-12.5	-2.06
304	12.5	24.3
311	37.5	28.47
346	-37.5	-26.91
356	-12.5	-25.84
370	-37.5	-27.43
414	-12.5	-0.91
430	-12.5	-27.93
454	12.5	33.03
473	12.5	33.98
484	-12.5	1.02
500	-37.5	-27.69
507	12.5	29.74
531	12.5	26.48
536	-12.5	2.18
549	-37.5	-33.07
564	-12.5	-1.5
605	-12.5	3.55
652	-12.5	26.73
657	-37.5	0.08
667	-37.5	11.57
691	-37.5	-1.87
729	37.5	22.5
747	37.5	-1.31
754	-12.5	-1.14
760	-37.5	1.35
776	37.5	0.52
810	-37.5	-27.87
832	12.5	32.78
842	37.5	0.7
851	37.5	27.41
874	37.5	n/a
909	37.5	17.83
917	12.5	23.95
949	12.5	25.29
965	-12.5	0.2
977	-37.5	7.19
989	37.5	23.02
994	12.5	1.36
1005	37.5	25.76
1053	-12.5	24.78
1073	-12.5	11.18
1103	12.5	30.77
1117	-37.5	1.73
1130	-37.5	-1.28
1149	12.5	21.43
1158	37.5	32.45
1177	12.5	-1.23
1199	37.5	33.25
1213	37.5	22.92
1243	-12.5	-0.62
1251	37.5	27.07
1263	-12.5	0.78
1288	-37.5	-30.15
1300	-12.5	1.06
1313	-12.5	n/a
1350	-37.5	0.56
