trial	target_ele	response_ele
7	37.5	41.88
14	-12.5	-8.08
19	-37.5	-40.88
42	12.5	6.76
52	12.5	-7.12
57	-12.5	-22.13
132	-37.5	-26.2
159	-12.5	-8.26
187	-12.5	-23.52
201	37.5	26.71
208	-37.5	-38.09
221	-37.5	-42.88
269	12.5	-9.38
288	-12.5	-24.66
305	-12.5	-7.42
320	37.5	26.52
335	-37.5	-36.5
345	-37.5	-38.67
353	12.5	9.29
388	12.5	13.42
408	37.5	11.38
427	-12.5	-5.46
439	37.5	9.45
450	-37.5	-32.92
479	12.5	-7.9
532	-37.5	-40.94
556	-37.5	-28.13
567	-12.5	-13.85
573	12.5	-1.01
587	37.5	14.56
608	-12.5	-13.08
614	-12.5	-13.03
628	37.5	10.82
635	-12.5	-12.38
642	-12.5	-20.09
655	12.5	-6.36
693	-37.5	-29.19
736	-12.5	1.69
747	-12.5	-24.17
757	-37.5	-37.28
771	12.5	3.3
815	-12.5	-15.81
833	12.5	11.4
847	-12.5	-5.85
859	-12.5	-16.39
873	37.5	27.3
887	-37.5	-37.95
899	-12.5	-10.93
933	-37.5	-13.34
941	37.5	28.74
950	-37.5	-24.7
990	-37.5	-10.41
1008	12.5	-5.44
1016	-37.5	-23.15
1024	12.5	-12.99
1056	12.5	13.05
1067	-12.5	13.66
1104	12.5	9.82
1116	-12.5	-11.16
1132	-12.5	-6.14
1165	12.5	17.09
1200	12.5	15.88
1212	-12.5	-4.03
1220	-12.5	-7.35
1246	-12.5	-11.75
1253	-12.5	-6.34
1262	-37.5	-23.7
1268	12.5	11.6
1273	12.5	12.49
1304	-12.5	1.67
1327	12.5	6.06
1359	12.5	12.19
