trial	hit
8	1
36	1
45	1
59	1
70	1
77	1
125	1
154	1
166	1
197	1
212	1
218	1
230	1
251	1
257	1
266	1
278	1
304	0
312	0
377	1
409	1
439	1
485	1
494	1
519	1
531	1
538	1
583	1
590	1
596	1
604	0
686	1
709	1
735	1
741	1
754	1
768	1
774	1
789	1
802	1
882	1
897	1
917	1
931	1
937	1
947	1
972	1
998	1
1016	0
1027	0
1034	0
1043	0
1055	1
1084	0
1099	0
1115	0
1130	1
1160	0
1169	1
1179	0
1193	1
1213	1
1236	1
1268	1
1304	0
1318	1
1344	1
1397	1
1440	1
1458	1
1472	1
1486	1
1519	1
1534	1
1547	1
1555	1
1582	1
1610	1
1617	1
1626	1
1666	1
1687	0
1715	0
1728	1
1756	1
1768	1
1803	1
1830	0
1853	1
1869	1
1879	1
1892	1
1914	1
1983	1
1991	0
2013	1
