trial	target_ele	response_ele
25	-12.5	-15.13
45	37.5	28.65
92	12.5	-2.42
103	12.5	-4.6
127	37.5	19.39
134	37.5	18.27
151	12.5	n/a
159	-37.5	-32.05
167	-12.5	-24.85
200	37.5	1.31
210	-12.5	-25.04
215	12.5	-0.71
234	12.5	-10.73
254	-12.5	-25.45
261	12.5	-12.87
299	37.5	21.85
307	37.5	-9.08
325	-37.5	-8.25
344	12.5	-8.77
366	-37.5	-34.28
385	12.5	n/a
415	-37.5	-33.0
426	-12.5	-25.63
446	-12.5	-24.71
460	-12.5	-23.61
473	12.5	-1.98
491	-12.5	-14.47
502	37.5	18.76
509	37.5	20.05
535	-37.5	-32.79
542	-12.5	-13.68
549	-37.5	-30.99
588	37.5	3.37
606	-37.5	-31.23
638	37.5	19.45
656	-37.5	-32.15
710	37.5	15.22
731	-12.5	-0.41
740	12.5	18.14
759	-37.5	-23.69
771	-37.5	-34.14
779	37.5	35.73
790	12.5	-9.51
836	37.5	34.04
847	37.5	35.66
855	37.5	52.37
877	37.5	18.96
910	12.5	2.57
919	12.5	2.2
939	-12.5	-14.8
1009	12.5	-4.01
1035	-37.5	-31.57
1044	-37.5	-32.87
1054	-37.5	-23.94
1062	12.5	8.31
1073	12.5	-4.86
1107	37.5	8.17
1115	-12.5	-22.07
1124	12.5	-12.3
1137	-37.5	-22.23
1148	37.5	33.04
1237	12.5	-2.95
1252	12.5	-4.8
1272	-37.5	-15.72
1283	-12.5	-23.98
1302	-37.5	-43.34
1307	37.5	26.09
1323	12.5	-2.43
1328	-37.5	0.08
1333	12.5	-1.26
1339	-37.5	-30.48
1353	-12.5	-21.76
