trial	hit
20	1
67	0
117	1
129	0
154	1
166	1
177	0
183	0
208	1
222	1
231	0
240	0
259	1
265	0
282	1
323	0
350	1
362	1
402	1
416	1
422	0
436	0
464	1
495	0
515	1
529	0
552	1
563	1
574	0
609	0
621	0
654	0
690	0
702	0
718	0
725	0
732	0
745	1
768	0
776	1
793	0
843	1
849	0
855	0
915	1
931	1
995	0
1005	1
1021	1
1042	1
1067	1
1096	0
1113	1
1126	0
1148	1
1176	1
1206	0
1222	0
1229	1
1271	0
1281	0
1299	1
1306	1
1321	1
1337	1
1361	0
1375	1
1386	0
1422	0
1466	1
1481	1
1508	1
1528	1
1581	1
1594	1
1608	0
1647	0
1683	0
1692	1
1703	1
1714	0
1723	0
1734	0
1743	0
1763	0
1773	0
1782	0
1798	1
1817	0
1866	0
1874	0
1907	0
1918	0
1965	0
1981	1
1992	0
