target_ele	response_ele
-25	-35.44
0	7.58
50	35.44
25	7.98
-50	-36.49
25	1.2
0	4.2
50	19.79
-25	-26.25
-50	-36.62
25	9.59
50	17.81
0	0.94
-50	-47.85
-25	-27.44
