trial	target_ele	response_ele
17	12.5	-3.81
42	37.5	12.08
71	-37.5	-14.55
84	37.5	6.9
96	-37.5	-13.97
118	-12.5	-3.07
123	37.5	7.97
146	12.5	-1.34
162	-12.5	-14.31
167	12.5	-3.87
187	-12.5	-14.72
214	-12.5	-3.43
232	-37.5	-14.34
253	-12.5	-2.89
292	-12.5	-14.58
302	-37.5	-15.64
309	37.5	9.82
337	-12.5	-15.37
354	37.5	-5.6
360	-37.5	-12.22
394	37.5	7.29
399	-12.5	-0.75
405	12.5	6.99
427	12.5	10.41
461	37.5	10.48
481	-12.5	-3.07
503	12.5	-9.33
514	-12.5	-4.18
528	-37.5	-27.8
535	-12.5	-3.23
561	-12.5	-2.64
574	-37.5	-12.77
589	37.5	-15.12
615	-12.5	-0.35
623	-37.5	-28.18
666	37.5	9.93
700	-37.5	-26.64
711	12.5	-2.88
747	-12.5	-1.82
769	-12.5	-3.99
775	-12.5	-16.13
795	-37.5	-16.29
801	-37.5	-16.15
826	-12.5	-4.93
847	37.5	20.62
865	-37.5	-16.93
890	-12.5	-5.58
904	12.5	8.54
920	-37.5	-26.58
951	-37.5	-28.42
998	12.5	7.45
1011	-12.5	0.27
1026	37.5	-3.13
1035	-12.5	-15.09
1042	-37.5	-26.49
1053	-37.5	-14.91
1086	37.5	-10.04
1114	37.5	16.74
1126	37.5	1.65
1134	37.5	16.94
1154	-12.5	20.82
1164	12.5	-3.89
1201	37.5	8.27
1231	-12.5	11.52
1250	-37.5	-25.96
1272	37.5	12.54
1292	12.5	6.65
1299	37.5	11.16
1324	37.5	6.06
1329	37.5	18.26
1349	-12.5	-16.5
1364	37.5	6.05
