target_ele	response_ele
50	55.63
-50	-51.2
0	0.39
25	29.11
-25	-40.37
-50	-53.82
0	17.86
50	56.13
-25	-15.72
25	27.39
-50	-52.32
50	57.28
-25	-18.29
0	16.43
25	30.25
