target_ele	response_ele
-50	-0.69
50	40.35
0	-0.39
-25	-36.64
25	11.78
0	23.16
50	39.37
25	11.75
-50	-36.91
-25	-25.41
50	24.9
-50	-35.23
0	1.63
25	24.13
-25	-25.77
