target_ele	response_ele
50	-1.87
0	-1.33
25	11.75
-25	-27.4
-50	-38.36
0	-2.09
-25	-28.77
50	46.53
25	10.89
-50	-50.99
0	-2.43
50	43.87
-25	-27.4
-50	-48.35
25	30.62
