trial	target_ele	response_ele
16	-37.5	-24.9
39	37.5	32.4
63	37.5	52.33
69	12.5	28.68
92	12.5	25.95
103	-12.5	-19.24
114	12.5	9.06
159	12.5	-7.02
170	-12.5	-17.85
186	37.5	25.44
206	-37.5	-24.53
219	12.5	0.19
234	37.5	26.79
239	-12.5	-6.67
259	12.5	13.96
270	-12.5	-2.4
277	-37.5	-31.63
308	12.5	10.26
318	-12.5	0.6
332	-37.5	-21.01
365	-12.5	-21.56
375	12.5	25.39
407	37.5	15.5
454	12.5	-4.4
514	37.5	30.32
522	12.5	-4.05
531	12.5	-5.21
538	-12.5	-18.44
552	37.5	26.53
568	12.5	-7.31
576	-37.5	-21.76
582	12.5	5.65
623	12.5	11.52
643	-12.5	-7.3
672	-12.5	-1.75
683	12.5	5.41
728	37.5	29.17
739	-12.5	-23.15
748	-12.5	-4.0
777	-37.5	-26.51
786	-37.5	-32.1
807	-37.5	-25.59
818	37.5	30.64
835	-37.5	-11.49
844	12.5	0.78
850	-12.5	7.53
876	-37.5	23.91
885	37.5	27.51
921	-37.5	-19.78
936	12.5	10.28
943	-12.5	-21.74
978	12.5	20.54
987	37.5	29.25
1017	-12.5	-17.65
1030	37.5	29.88
1049	-37.5	-26.5
1082	-12.5	-22.8
1095	-37.5	-19.17
1114	-12.5	-15.1
1121	-12.5	21.5
1152	-12.5	-23.56
1178	-37.5	-23.92
1190	-12.5	-23.41
1200	12.5	22.1
1227	12.5	14.11
1232	-12.5	18.51
1299	-37.5	-20.73
1308	12.5	-16.42
1321	12.5	31.43
1326	37.5	23.99
1333	12.5	16.75
1350	-37.5	-28.03
