trial	target_ele	response_ele
51	-37.5	-17.51
56	37.5	16.04
67	37.5	16.3
72	12.5	4.97
80	-37.5	-20.48
102	37.5	17.71
113	-37.5	-26.38
133	-12.5	-7.86
154	37.5	9.19
164	-37.5	-19.1
195	12.5	4.39
226	12.5	9.52
235	-12.5	-7.78
253	37.5	19.63
289	37.5	19.6
323	-12.5	-10.77
344	-12.5	-1.93
365	37.5	24.63
374	-12.5	-4.97
384	37.5	7.95
398	12.5	6.74
403	37.5	16.69
420	-37.5	-16.08
455	-37.5	-13.54
476	-12.5	-7.83
489	-12.5	-6.71
532	37.5	18.27
549	-37.5	-15.26
561	12.5	5.39
570	-37.5	-14.27
591	-37.5	-15.8
598	12.5	-8.67
619	-37.5	-14.28
633	-37.5	-13.62
648	-12.5	-5.9
680	-12.5	-12.53
706	37.5	12.36
716	-37.5	-14.15
730	37.5	17.1
772	37.5	10.31
807	-12.5	-4.55
819	37.5	20.51
827	-12.5	-0.63
862	12.5	7.54
871	37.5	16.09
880	-12.5	6.98
888	-12.5	4.67
897	-37.5	-12.74
927	37.5	20.94
941	-12.5	6.85
962	-37.5	-6.61
973	37.5	16.54
987	-37.5	-19.12
1003	-12.5	4.44
1012	-37.5	-6.82
1045	37.5	17.65
1055	-12.5	-6.86
1082	12.5	6.26
1107	-12.5	4.46
1115	-12.5	-9.66
1153	-12.5	-4.69
1159	37.5	19.06
1164	-12.5	-6.21
1175	12.5	6.87
1219	37.5	21.98
1233	37.5	7.66
1264	12.5	5.7
1271	-12.5	-6.6
1282	-37.5	1.82
1296	12.5	5.48
1303	-37.5	-4.78
1312	-12.5	-5.18
