trial	target_ele	response_ele
25	37.5	-21.5
35	12.5	-4.29
50	37.5	-27.02
55	12.5	46.4
74	-37.5	-20.38
86	37.5	37.57
92	37.5	-28.91
116	12.5	61.22
143	37.5	44.06
157	-37.5	n/a
183	-12.5	14.66
213	-12.5	26.48
237	37.5	-22.45
246	-37.5	-5.03
312	37.5	-4.58
332	-37.5	-9.81
347	37.5	-28.84
361	-12.5	-29.37
379	37.5	39.55
396	37.5	-24.29
408	12.5	36.8
417	12.5	19.42
439	37.5	-18.66
454	12.5	-24.27
468	-12.5	7.27
476	-12.5	-22.6
491	37.5	-25.22
520	-12.5	35.99
529	-12.5	49.15
534	37.5	-0.96
543	12.5	64.73
556	-12.5	58.32
581	37.5	-8.42
590	-37.5	22.4
617	12.5	50.91
644	-12.5	41.56
696	37.5	-26.19
703	-37.5	-9.05
721	37.5	3.91
731	12.5	10.35
739	-37.5	39.14
788	-12.5	36.25
812	12.5	-4.85
817	37.5	-16.98
823	37.5	-17.35
855	-37.5	18.49
860	-37.5	50.26
899	-37.5	-8.45
917	37.5	-13.72
926	-12.5	4.85
949	-37.5	50.01
956	12.5	32.88
987	37.5	-7.17
998	-12.5	43.08
1032	-37.5	47.56
1038	12.5	19.62
1044	-37.5	18.94
1051	-12.5	33.31
1059	-12.5	-4.98
1122	-12.5	49.48
1150	-37.5	-5.8
1166	-12.5	15.22
1174	12.5	22.83
1182	37.5	-13.56
1201	12.5	-14.32
1224	12.5	28.63
1264	37.5	-13.82
1301	37.5	-9.57
1313	12.5	17.66
1318	37.5	-16.46
1348	-37.5	24.08
1367	12.5	-10.61
