target_ele	response_ele
-25	-9.99
0	27.76
50	49.31
25	59.15
-50	-42.21
0	-7.81
50	40.1
-50	-35.5
-25	-5.44
25	22.15
-25	-30.34
25	46.56
-50	-44.74
50	60.61
0	11.31
