trial	target_ele	response_ele
12	12.5	23.92
28	-12.5	-8.02
35	-37.5	-35.77
42	-12.5	-30.96
53	12.5	-33.02
110	37.5	36.97
117	-12.5	-23.06
134	-12.5	46.12
142	37.5	45.84
169	12.5	-9.49
200	-37.5	21.78
210	12.5	20.93
260	37.5	6.39
285	-12.5	-22.12
311	-12.5	-29.15
317	37.5	24.28
322	-37.5	-45.22
332	37.5	34.11
348	37.5	9.39
365	37.5	25.05
397	-37.5	-44.96
416	-37.5	-35.36
421	37.5	-7.17
441	12.5	-17.93
483	12.5	35.35
496	-12.5	-7.8
520	-12.5	-19.22
545	37.5	23.39
563	-37.5	-32.6
579	12.5	-20.47
589	-12.5	-28.95
608	37.5	8.1
641	12.5	-4.84
652	-12.5	-17.68
672	12.5	-17.58
683	-12.5	-28.47
701	12.5	5.4
710	12.5	3.6
744	37.5	18.61
751	12.5	-6.94
797	-37.5	4.97
802	-12.5	-2.79
813	37.5	28.52
823	37.5	6.8
836	-12.5	14.2
874	-12.5	-17.16
893	37.5	39.57
903	12.5	-6.58
916	12.5	-8.6
952	37.5	24.43
963	37.5	24.44
987	37.5	6.69
994	37.5	6.93
1007	37.5	5.26
1031	12.5	24.91
1066	37.5	5.0
1101	12.5	39.3
1110	-12.5	7.3
1121	12.5	49.51
1130	-37.5	-11.15
1196	37.5	24.87
1209	-12.5	-4.07
1240	-12.5	31.46
1250	37.5	38.78
1268	-37.5	25.69
1277	-12.5	-5.37
1287	12.5	8.63
1307	37.5	25.38
1316	-12.5	11.39
1327	12.5	31.52
1332	-37.5	-18.94
1349	37.5	8.15
