target_ele	response_ele
-25	-33.15
0	-1.67
50	41.65
25	13.41
-50	-42.34
50	27.46
-50	-41.34
-25	-30.93
0	2.62
25	27.22
-50	-31.03
0	-1.43
-25	-25.06
50	41.67
25	13.98
