trial	target_ele	response_ele
23	37.5	-0.18
33	-12.5	-5.98
79	-12.5	-5.36
103	-37.5	-21.42
111	37.5	10.71
116	-37.5	-28.47
147	12.5	6.68
152	-37.5	-3.63
171	-37.5	-30.03
180	12.5	-6.03
205	-37.5	-28.24
224	-12.5	6.35
236	12.5	-4.51
255	12.5	-6.15
263	-37.5	-34.1
276	12.5	-19.8
293	-37.5	-19.68
308	37.5	19.34
320	-37.5	6.82
367	12.5	-4.96
373	12.5	-5.84
380	-37.5	-14.86
423	-37.5	-32.49
450	-37.5	-25.59
491	-37.5	-39.04
514	-12.5	9.96
519	-37.5	-6.5
542	37.5	26.5
568	-12.5	-19.41
580	-12.5	4.73
595	12.5	-8.16
602	-37.5	-21.83
623	-12.5	5.73
648	12.5	-33.53
658	-12.5	0.79
663	-37.5	-31.87
702	12.5	-6.29
746	12.5	-7.18
764	-37.5	-31.2
772	-12.5	-5.09
816	12.5	-1.41
825	37.5	4.46
839	37.5	22.3
855	-12.5	-19.27
865	12.5	-5.9
875	12.5	-16.74
881	37.5	21.47
904	-12.5	-16.52
943	-12.5	-3.77
960	37.5	21.4
966	37.5	25.63
1004	37.5	23.73
1010	-12.5	-10.96
1019	-12.5	-19.32
1059	-12.5	-4.28
1069	37.5	20.22
1074	-12.5	-6.87
1080	-37.5	-7.29
1107	37.5	24.72
1113	37.5	-15.08
1165	-37.5	-37.32
1177	-37.5	-13.77
1185	-37.5	-32.74
1193	-37.5	-7.68
1203	-37.5	-13.83
1210	37.5	6.0
1255	-37.5	-33.36
1262	12.5	1.06
1273	12.5	7.14
1322	12.5	-6.55
1352	-12.5	-14.03
1358	-37.5	-21.12
