trial	target_ele	response_ele
5	-12.5	39.25
14	-12.5	-15.8
24	37.5	24.6
85	37.5	25.5
90	-12.5	-23.96
118	12.5	-16.04
130	37.5	24.55
141	12.5	12.82
157	37.5	33.5
163	12.5	-1.07
187	12.5	11.39
195	12.5	-3.16
237	-37.5	-29.51
244	-12.5	-16.79
253	12.5	-2.71
287	37.5	22.03
300	37.5	7.11
307	-12.5	-17.18
339	12.5	-3.06
358	-12.5	-16.25
380	37.5	9.74
412	-12.5	-16.08
425	37.5	8.86
435	-12.5	-15.91
462	12.5	11.62
488	12.5	-0.4
519	37.5	11.79
525	-37.5	-23.76
541	37.5	21.52
553	-12.5	-14.16
572	-12.5	-14.56
577	-12.5	-14.16
595	-37.5	-33.44
622	12.5	10.82
647	12.5	-1.76
659	-12.5	-14.69
694	-12.5	-13.74
699	37.5	22.24
704	-37.5	-23.69
716	12.5	-0.97
729	12.5	0.55
743	37.5	11.86
764	12.5	0.03
775	-37.5	-23.39
807	-12.5	-13.89
812	-37.5	-34.23
819	37.5	10.33
855	-37.5	-33.9
949	37.5	9.75
962	37.5	9.83
993	-37.5	-32.82
1001	-12.5	-0.76
1037	37.5	23.38
1053	-12.5	-13.64
1060	37.5	24.72
1068	12.5	9.79
1085	-12.5	-22.42
1093	-12.5	-12.73
1099	-12.5	-1.28
1136	12.5	-1.54
1157	37.5	8.8
1172	12.5	-1.47
1201	-12.5	-15.35
1208	37.5	11.8
1243	-12.5	-13.34
1269	-12.5	-14.47
1274	12.5	-0.83
1286	-37.5	-21.86
1300	-37.5	-30.89
1306	37.5	23.54
1323	37.5	21.7
1350	37.5	23.66
