trial	hit
26	1
55	1
64	1
84	1
106	0
121	0
127	1
133	1
150	1
159	0
171	1
177	1
187	0
194	0
212	1
223	0
262	1
321	0
394	1
404	1
410	1
441	1
458	1
502	0
530	1
541	1
564	1
580	1
588	0
596	1
623	1
643	1
656	1
685	1
692	1
723	1
754	1
789	0
839	1
852	1
858	0
878	1
894	0
917	1
927	1
955	1
976	1
987	1
1018	1
1024	1
1090	0
1122	0
1138	1
1170	1
1179	0
1215	1
1223	1
1238	1
1274	1
1288	0
1303	1
1322	1
1331	0
1375	1
1385	0
1400	1
1435	1
1442	0
1451	1
1476	0
1485	1
1507	1
1531	0
1564	1
1579	0
1591	1
1597	1
1616	1
1624	1
1634	1
1655	1
1667	0
1682	1
1730	1
1736	0
1746	0
1760	1
1788	1
1861	1
1875	0
1932	0
1941	1
1977	0
1983	0
1993	1
2013	0
