trial	target_ele	response_ele
7	37.5	9.3
22	-37.5	-13.1
50	37.5	7.4
66	37.5	-7.5
91	-37.5	9.7
102	12.5	7.7
130	37.5	-12.6
148	12.5	-34.9
172	37.5	30.3
186	12.5	7.6
212	37.5	6.5
229	-37.5	-14.4
12	-12.5	-8.5
32	-12.5	-39.8
44	-12.5	23.2
71	12.5	14.2
90	-12.5	-10.3
107	-12.5	27.7
128	12.5	16.0
148	12.5	16.6
162	-37.5	-15.9
190	-12.5	31.6
205	-12.5	-17.8
226	-37.5	6.7
11	12.5	-24.6
29	-37.5	-14.0
44	37.5	-14.2
64	12.5	13.5
85	12.5	9.0
104	-37.5	-40.9
122	-12.5	27.4
151	37.5	14.0
163	37.5	16.1
186	12.5	-15.0
208	-37.5	9.3
230	37.5	-16.8
11	-37.5	-40.6
29	-37.5	-16.5
51	-12.5	-11.1
68	-37.5	-12.7
90	-37.5	11.2
104	-37.5	-15.4
125	-12.5	14.5
148	-37.5	9.8
162	-37.5	10.0
185	-12.5	13.9
206	12.5	-17.7
222	37.5	-11.9
7	37.5	-8.3
23	-12.5	10.6
45	-12.5	-14.8
64	12.5	13.4
82	-12.5	-43.7
102	-12.5	29.9
124	37.5	14.4
146	-12.5	-14.6
169	37.5	11.2
189	12.5	-18.1
207	12.5	-15.1
227	37.5	-42.3
5	37.5	-11.7
28	12.5	-38.6
49	37.5	-17.9
64	12.5	9.1
91	-37.5	-39.2
112	37.5	11.4
130	-37.5	-19.1
142	37.5	-20.3
165	-12.5	-13.8
188	-12.5	-34.1
204	37.5	-18.4
232	37.5	-20.1
